	P0	P1	P2	P3	P4	P5	P6
(-) ADCY3	0.033250422370136125	0.006796581742119237	0.0021684230885765333	0.0557816681746756	0.0	0.058591762052693924	0.0
(-) ADORA2B	0.014841270267983514	0.004061635910261108	0.0768380122950054	0.09379091283465599	0.07375865753000968	0.0	0.00196509788033862
(-) AFF3	0.2634725438730937	0.29369008801736707	0.007228219292688199	0.0	0.0	0.37314451450423014	0.012272248830468688
(-) AGAP9	0.12249429436208176	0.04161560710952784	0.06469845736819763	0.05197322841258929	0.023781146075076663	0.018949355604074073	0.007240763590884263
(-) AGPAT2	0.0009049865885895899	0.0	0.07792619701466745	0.0	0.13369168883143467	0.0	0.0
(-) AHR	0.027579719065925212	0.04743408665585763	0.2689512729194231	0.15766507153239798	0.039447921971923296	0.1522888079758866	0.0004274467104534926
(-) AIDA	0.0	0.08259319416164171	0.1505466561835048	0.03645259560570199	0.0	0.0	0.0
(-) ALCAM	0.08735961889120024	0.06298750878416978	0.03347582798509415	0.0	0.05510284220443315	0.032457551995588516	0.014696634889837605
(-) ALDH5A1	0.24684558987738286	0.0	0.0	0.0	0.40348652146253416	0.127339458675858	0.0
(-) ALG12	0.005940886663962423	0.0	0.03432764964345634	0.06763974455247736	0.045105770740921654	0.0	0.0
(-) ALG14	0.07597388301059681	0.01326066037073687	0.029143199669516055	0.138819100538133	0.11130111575643434	0.0	0.00024954521109060707
(-) ALG9	0.040603221081544634	0.018696565550631997	0.02273383740673051	0.12138730493384912	0.03475273354695932	0.005233482464244365	0.007207045706238515
(-) ALPK2	0.0	0.3378446676175091	0.0	0.04304139819749232	0.29805230526342524	0.15247916067575373	0.014529283049541467
(-) AMPD2	0.005429725437725073	0.1651607375350088	0.0	0.0295247413593121	0.057489407871412296	0.0192517349074813	0.0010334871629699613
(-) ANAPC4	0.0	0.0	0.0	0.09961359766963358	0.0	0.011046628443842122	0.13564563833219168
(-) ANAPC7	0.0	0.0	0.0	0.1416355103556643	0.0	0.050949406897305594	0.0
(-) ANGPTL2	0.0	0.19758980182709432	0.043017094510228775	0.07757629950663314	0.0	0.11669840925355468	0.24557836760211846
(-) ANKEF1	0.015615063897847547	0.0	0.24593691725896324	0.060709039007215186	0.43365894723843307	0.35263508669647237	0.03366604022611875
(-) ANKIB1	0.017591684378865147	0.11151955615532694	0.1389748357174208	0.0	0.14496201476194182	0.05568245331201147	0.04693136286153271
(-) ANKLE2	0.0	0.01024781219998526	0.014661925405955612	0.1554830515389073	0.007062063028485498	0.0	0.007798498456744104
(-) ANKRD10	0.05878962922823394	0.0	0.0	0.006653474801022995	0.0554529237092097	0.0	0.13829540168899607
(-) ANXA6	0.0	0.18781253331904857	0.24305143862532708	0.0	0.0	0.09353606380978982	0.0037294818844327933
(-) AP1B1	0.05134586700066172	0.006309971142503636	0.028165721393864366	0.07007429690276748	0.0	0.0	0.0004940411493551732
(-) AP2M1	0.021350370519234784	0.07068184722967102	0.004742651947745742	0.010094228081329313	0.0	0.09625478738165358	0.0433524942040477
(-) APBA2	0.16799408306165117	0.22351432417288444	0.0	0.0	0.5640745105796534	0.20709000284318158	0.0
(-) APBB1	0.06513085413726839	0.19934081229084744	0.0	0.0021119883978348484	0.008116497109997386	0.0	0.004457563225881836
(-) APLF	0.22008085968645497	0.00179006438144587	0.3505315163859264	0.0	0.05183348555105449	0.14795739899554752	0.1400098768712435
(-) APOBEC3B	0.0	0.0	0.2749533364416339	0.14198143024644175	0.0	0.0	0.0
(-) APOBEC3D	0.15050494475836812	0.009975481574002965	0.3400338383608106	0.24767144610141975	0.05212810787142331	0.0	0.06960682005543176
(-) APOBEC3G	0.04361985072897353	0.1822204714720893	0.2460876483880833	0.0	0.11936124519839701	0.0	0.27053856322988296
(-) AR	0.20622208351686278	0.1043968864423109	0.2501577756943493	0.07557989129040295	0.5192581644885015	0.0	0.3810582115073052
(-) ARAF	0.06389174150762872	0.01945896155461366	0.0	0.04690763406819635	0.0	0.0	0.0
(-) ARF1	0.04518452442840478	0.030259928307722967	0.1599791135161853	0.040896983863581995	0.024636902234666223	0.0	0.0
(-) ARF4	0.0068377734086036805	0.1479548051699711	0.15156602438096448	0.0	0.021726767601743833	0.0	0.01603024873855668
(-) ARFGAP1	0.0	0.09538457946261727	0.1858596110864832	0.0	0.00863098367135449	0.07774618795507912	0.0
(-) ARFGAP2	0.010754689055357314	0.0	0.0023821852546103994	0.017784559373162284	0.07095903813529156	0.09266264486279276	0.0
(-) ARFGEF1	0.0437159908475413	0.0	0.022814802051775954	0.06671239953319748	0.05399927556691978	0.0003477086128773453	0.01953544896932611
(-) ARHGAP11A	0.0	0.0	0.0	0.20162270183032976	0.0	0.0	0.004626290213722782
(-) ARHGAP18	0.01744532156210259	0.038852900550196745	0.0	0.036269614091699	0.0	0.0	0.16732904043549676
(-) ARHGAP22	0.0316523022206141	0.0	0.41133419002458516	0.0034765952764260356	0.0	0.32400891662610465	0.23081817363491278
(-) ARHGAP23	0.0	0.02143209989163095	0.10569937941687557	0.018738178411754996	0.07374054613403974	0.05674955452241047	0.0037558454404671825
(-) ARHGAP24	0.06397648677144353	0.1021790538584182	0.41338923990950954	0.043653806955925495	0.0	0.26973804016855013	0.11907325338720057
(-) ARHGAP35	0.0	0.09249417820267726	0.0	0.03937786876222284	0.10562429128288366	0.01999737572882703	0.02092673481820615
(-) ARHGEF1	0.02742495774471196	0.0	0.0073966786364066716	0.053273770367618545	0.0	0.008054366906155058	0.0437350243131791
(-) ARHGEF10	0.07325375034865604	0.14179755764877972	0.36058154845038815	0.010066168841975523	0.13898491313530054	0.06813848197440313	0.058490071285990944
(-) ARHGEF10L	0.025219311216663574	0.0	0.0	0.010090260522569283	0.13145645804794795	0.14096686462489078	0.024576852473455275
(-) ARHGEF17	0.03298091920794595	0.028149583929138595	0.0	0.039232188232244745	0.2559543389135181	0.046701585733713885	0.0
(-) ARHGEF25	0.013333888001518744	0.1488582602712006	0.010173415695664484	0.08536582704057603	0.0030083075213335653	0.0	0.09591240096539001
(-) ARHGEF26	0.28199247373810093	0.06474901420731895	0.0	0.10446081704965876	0.05633488768945797	0.0	0.033236672228232185
(-) ARHGEF6	0.0	0.27331400121820154	0.015783684358277286	0.0	0.017938261020343856	0.0	0.24813707287497486
(-) ARL10	0.08114484516574869	0.14975034168443238	0.0	0.439535725677536	0.5894305067240833	0.04844843235135525	0.09750534433719504
(-) ARMC1	0.0	0.0	0.14636318455002825	0.0753314125410082	0.0	0.0	0.013366393109070816
(-) ARMC10	0.1126855351137824	0.030509324030083752	0.07505836544594573	0.0	0.0	0.0	0.0
(-) ARMC2	0.11355013505218889	0.06554551957160663	0.039581141763737594	0.1555105511715834	0.03384863061637672	0.11985118692242491	0.023212463389277745
(-) ARMC7	0.10027090981651668	0.0	0.0	0.0836191874959471	0.021736677637824296	0.014144151620830978	0.0
(-) ARMC8	0.06429569721768072	8.250298335292923e-05	0.0	0.08539385952040254	0.016270420708108885	0.0	0.0010521898457789365
(-) ARMCX1	0.00044479453708479036	0.23773067447518695	0.03664045786893943	0.1412160225771337	0.0	0.09074412492071411	0.0
(-) ARMCX2	0.23123295516954634	0.26680440083833284	0.0	0.04846609452183473	0.0	0.029979118342812576	0.14984068361895594
(-) ARMCX4	0.1166006142099459	0.09311513119975856	0.06877644912160921	0.3134150536889069	0.06457955609297417	0.0	0.22917919572599532
(-) ARMCX5	0.0	0.0	0.0034167139543432854	0.19056726983945305	0.0	0.0	0.0
(-) ARSD	0.05199205632244581	0.3148522358287259	0.0	0.0	0.1621796433929774	0.08892781103378196	0.005077740847804959
(-) ASAH2	0.1071424362177393	0.09364540297961614	0.09172537619023054	0.1645782323767369	0.2747467587257038	0.036538963394829455	0.0706294466583449
(-) ASB14	0.4781692190534678	0.13966393417314377	0.20346268885487206	0.20813620718815565	0.24560001314430432	0.18285787068128226	0.1445170571107314
(-) ASB16	0.08384817119630444	0.010571498479135816	0.0	0.03441051122137837	0.015269902710234647	0.06915329514997692	0.20298445717335706
(-) ASB9	0.2903480920417061	0.12156365675641433	0.07922794192855244	0.022908335368267585	0.10682547273541006	0.019675395151462466	0.0
(-) ASF1A	0.0	0.0	0.0	0.11121028636957397	0.0	0.018282783492189408	0.08719116064258255
(-) ASNA1	0.02151570210310975	0.023605252353302606	0.0	0.053656585052707845	0.0	0.056846305610958346	0.0
(-) ASPM	0.0	0.0	0.0	0.16232972539048984	0.0	0.0	0.0065982776574319635
(-) ATAD1	0.14353592122694714	0.01955483840812658	0.0	0.04129896771743191	0.0	0.0	0.0
(-) ATAD3A	0.0	0.0	0.09281821864954003	0.09805910392049959	0.010203282192253076	0.05318094026704098	0.04031109191495867
(-) ATG5	0.0	0.0	0.0	0.13237295380662767	0.0	0.0038131048222059868	0.05439374373746666
(-) ATL1	0.30585438964966405	0.011399754262658848	0.012255657717541793	0.004531480028035354	0.23554728787686335	0.05110630697927131	0.11893039031445196
(-) ATOH8	0.06999297220560982	0.19578991118457903	0.27170432461606414	0.1967880153617891	0.07361709600183598	0.23718685748837517	0.14862738461616043
(-) ATP6V1A	0.07648562548772858	0.0	0.0	0.011356376134650579	0.0	0.09858086962831607	0.004268353900608502
(-) ATP6V1E1	0.031748263625720176	0.0	0.00673231937677819	0.0362066687528313	0.06235700188651608	0.005462789025066642	0.062481172810656925
(-) ATP9B	0.0434882441154925	0.06234782560305588	0.02714520867473111	0.04619152480203848	0.163133287801399	0.011290616079315868	0.05894185103158652
(-) ATRN	0.0005228031515275581	0.11920423707059609	0.053818173245703135	0.0	0.25440404739602085	0.0	0.0
(-) ATXN1	0.0	0.1822011225633282	0.0	0.0	0.23865914138981917	0.026122921614886854	0.009470905131904022
(-) ATXN10	0.027738838689269196	0.014185706127995338	0.005334612629170333	0.06683325178491231	0.008303372887719738	0.0	0.011581486608283169
(-) ATXN2L	0.0	0.11402193187171275	0.0	0.09921091344544375	0.0	0.0	0.0
(-) ATXN7	0.046011040311669256	0.08695706034616192	0.008340648532230058	0.010505060286163286	0.006645699572836129	0.013822280519598645	0.04324433941554363
(-) AUH	0.08481982419571346	0.0	0.0	0.04931142643328429	0.0	0.079104379234567	0.0003644337761429576
(-) AUNIP	0.04017432923252644	0.0	0.06268028639718172	0.33139110650072084	0.0	0.012459865936782315	0.0
(-) AURKAIP1	0.0	0.0	0.14421602458496469	0.03735545733010148	0.0	0.03282048406871623	0.08766608660299716
(-) AUTS2	0.14370152230409083	0.03229443939687729	0.0	0.0	0.5225736796949837	0.17681994500579531	0.24689362172471324
(-) AXL	0.0	0.13838999380969003	0.26076972471380894	0.012539304617412199	0.02848762831514899	0.043066836333529195	0.0
(-) B3GALT6	4.88413546734982e-05	0.12076724350203419	0.1729247289564672	0.003089358199189826	0.030792719325316447	0.0	0.12166776873059247
(-) B3GNT5	0.3985980685855914	0.0	0.039593479086048704	0.09150537286073569	0.01120239548155496	0.026089073968841844	0.24862842733172383
(-) B3GNT9	0.0	0.09473442312080474	0.047344692004809244	0.06625797561652079	0.21137809309036373	0.08500540135422477	0.207923334005416
(-) B4GALT6	0.3285093537702378	0.0	0.4092860126920224	0.0	0.0	0.3029352922455916	0.0
(-) BACE2	0.0	0.0	0.3856568509809122	0.0	0.0	0.23911452811678452	0.07285644403247515
(-) BAG2	0.06267138278578119	0.14592420500398076	0.0	0.15358512410481245	0.0	0.0	0.0
(-) BAG4	0.04609466577479475	0.0	0.06159657324663583	0.08580641651759317	0.005842820147660306	0.0	0.007310422364020155
(-) BAIAP2	0.0991938825809612	0.0	0.0	0.10449869435644546	0.0	0.03483311039351156	0.00357623080387378
(-) BAIAP2L1	0.20073802771646584	0.0	0.2825848221427972	0.003470785152102209	0.04614636772212457	0.27908883955317804	0.0
(-) BARD1	0.0	0.0	0.0	0.12590018572323888	0.0	0.0	0.0
(-) BASP1	0.015471260075838386	0.003025413060240388	0.18233913312094863	0.24114891300056598	0.1301300451419488	0.10476291293776646	0.016059158979556364
(-) BAZ1A	0.0	0.0	0.0	0.1695115550145983	0.009471854555235927	0.0	0.05708861389527776
(-) BAZ2A	0.0716188066624959	0.0	0.0	0.036053599929922374	0.0	0.006544729595647159	0.0
(-) BCAT1	0.0	0.19338210843191195	0.18704632470010876	0.16196820526241507	0.09405178708993779	0.0	0.005538157715957282
(-) BCDIN3D	0.19927989967838447	0.0	0.0028293897353787803	0.0	0.11177121331021381	0.0	0.0
(-) BCHE	0.5154460045755903	0.23608892280599134	0.2115584532152704	0.0	0.0	0.0	0.20545243492659937
(-) BCL6	0.0016151907875259384	0.04816098509678344	0.20859297070077001	0.0	0.10158688692080364	0.0048244495458884245	0.014575787455821831
(-) BCLAF1	0.0	0.0	0.0	0.12205108603141542	0.007187067044371648	0.0018733202289849859	0.00834525311055757
(-) BDH2	0.06690075161983976	0.02718165877578289	0.03675513411387452	0.0	0.016980005913942064	0.0602118526514708	0.0892664501050439
(-) BEND6	0.0	0.2377518466827292	0.2217276457298267	0.01243084520349834	0.18666935564332637	0.05723836458622356	0.18363040258029864
(-) BIN1	0.0	0.10742454207704542	0.12796432728161372	0.01338651412376742	0.09203782199441103	0.07150750316777967	0.0
(-) BLMH	0.12573061574319064	0.00014446016459463548	0.0	0.02368838934389285	0.06806862972426093	0.0	0.042546374441571506
(-) BNC2	0.15483026143841777	0.10308350043712843	0.25136093585232233	0.009629450009668099	0.0	0.0	0.08908150639041348
(-) BNIP2	0.06860786262195559	0.0	0.005507100510945816	0.0854328871860807	0.0	0.0	0.029863041192354584
(-) BOLA1	0.10979471234685999	0.0	0.05035917297969703	0.019732022591724817	0.06218399189263857	0.14460354506094295	0.0
(-) BRCA2	0.005033146890063091	0.0	0.00391678429802506	0.23355069121332833	0.0	0.0003885394603013248	0.0679133546210768
(-) BRD7	0.09087055682329113	0.010869740987936565	0.0	0.12057719094031875	0.04963428368266083	0.0	0.006282364776656598
(-) BRD8	0.0	0.0	0.0	0.11942097798000295	0.0	0.06011500373086136	0.0032283578905752293
(-) BRF1	0.0	0.018434897765746187	0.0	0.05953089107519715	0.011696506874110047	0.07932520077486456	0.0
(-) BRIP1	0.0	0.0016540745106334762	0.0	0.15664836594058912	0.0	0.0	0.05063519158021412
(-) BTG3	0.03790011555537441	0.0	0.0	0.0644098194007199	0.0	0.015774476034679394	0.0882264015255648
(-) BUB1	0.06305978703989798	0.009097952079632321	0.0	0.27508202966722073	0.0	0.0	0.0
(-) BUB1B	0.00406539659779947	0.0	0.0	0.2048608841261911	0.0	0.0	0.0
(-) BUD13	0.0	0.06936042721298595	0.0	0.1424987924060001	0.017454972379297336	0.0	0.019361690793726002
(-) C10orf76	0.05749435269515097	0.0	0.0	0.07560024731491409	0.04017187973383008	0.0	0.05987286535361886
(-) C11orf45	0.0629996190254411	0.0	0.29346321253966395	0.2818149427003015	0.010141490549309934	0.1562082390998148	0.27080911185711976
(-) C11orf58	0.05988161552473129	0.0	0.11675728398190151	0.006958743686260538	0.0	0.0	0.0
(-) C11orf80	0.15512844846653145	0.0	0.06125238434730267	0.24475326058222088	0.11384656718756134	0.0	0.0022826323484777572
(-) C14orf132	0.009229893724890751	0.10981194297672231	0.18387168977179127	0.0	0.17295460776950722	0.2335796173613886	0.07056107721600048
(-) C16orf58	0.010159404980372806	0.13505025137880416	0.06198179410520376	0.010519397223806782	0.0	0.0	0.0
(-) C18orf54	0.0	0.0	0.04930475625950506	0.22602981346943474	0.0	0.0	0.0022977402426042786
(-) C19orf24	0.04721084229637356	0.07460458752795147	0.0	0.03984265269299686	0.0	0.05535317324661089	0.0
(-) C1QTNF1	0.10979385361549573	0.07823722223147682	0.0	0.0	0.26984414240228205	0.027108546461855627	0.27937099238028035
(-) C1orf216	0.0	0.06777060056166849	0.004443063732850077	0.011366668382171588	0.05574864109921249	0.10911715486972033	0.02579135433031048
(-) C20orf194	0.0099785157915282	0.07363641006314325	0.0	0.008107825674413269	0.2017611646811027	0.0	0.00470778915988836
(-) C21orf58	0.0	0.010585099106585547	0.10104364209197639	0.0462278053734737	0.009420921396178799	0.08476304586841248	0.06582994662860135
(-) C2CD2	0.0	0.045289486635281005	0.07187371058142347	0.011838638517514799	0.10572457048703728	0.07452827443734095	0.010649682951698205
(-) C2orf42	0.11189785043202118	0.02813589643422073	0.0	0.0015241890791724035	0.10051762219921498	0.011051741911941514	0.04110267628128872
(-) C3orf14	0.30029438604122577	0.0	0.10188760997016763	0.013870605462090301	0.0	0.2185697492982094	0.0
(-) C3orf18	0.0	0.20482794912548602	0.13217840528545916	0.15612910009983708	0.05986340750191924	0.0	0.06055892598351458
(-) C3orf52	0.029789874205118232	0.0	0.0703957274031906	0.3328818518494366	0.0	0.12355134180898843	0.0
(-) C5	0.10810267046277806	0.07662890422288561	0.06691174957007642	0.0	0.21189188557091096	0.1215411158268713	0.21331312483360856
(-) C7orf61	0.37912402529291295	0.1156788066379619	0.14801195112628723	0.12562923302708062	0.045770532821796814	0.07881759061188527	0.021471152475637315
(-) C9orf72	0.12061915944928726	0.09174173263260145	0.0	0.12281911475375676	0.026239507224403606	0.1256868593694472	0.3238595506397102
(-) CAAP1	0.14706303684578229	0.06681604042050816	0.0	0.03328133230667174	0.04159372980172823	0.11789179766246136	0.24805077026656097
(-) CACNA2D1	0.3602391674011997	0.2262866032618577	0.0595380143062905	0.09418405325748654	0.2443581187405906	0.0005870897928905001	0.01479866917999463
(-) CAMK1	0.05299784623626553	0.13027491730531635	0.0	0.02337199770665666	0.08914998949830552	0.061076040849206294	0.22774217159102025
(-) CAMK1D	0.17098159970316631	0.1348112217256629	0.009216562825695374	0.05728358972188244	0.3036751261055898	0.21247553743199848	0.0529561714325685
(-) CAMK4	0.15619041925361649	0.03561596028574081	0.5043623344446653	0.011077328564879644	0.0	0.09755644957130864	0.0
(-) CAP2	0.05389094233191935	0.057454405478728314	0.17390927265277129	0.0	0.11821026249288674	0.0	0.0
(-) CAPN1	0.00869137831924104	0.0	0.07903461810946762	0.030729949020754235	0.0	0.009493525665451915	0.11826172965504875
(-) CAPN10	0.0634596584588388	0.01987770608380754	0.0	0.01040370631842857	0.0	0.009223572574341726	0.0
(-) CAPN2	0.0	0.0014932987117689549	0.1731608497143454	0.02469302382239426	0.00946654436065962	0.020869338873446303	0.0027125415617828418
(-) CASP2	0.01194584337691823	0.0	0.012584034134416463	0.0	0.13480065927408705	0.0789244297909112	0.00589161488760612
(-) CASP4	0.005319898034522388	0.0	0.1092983659497215	0.0004983025163126078	0.0	0.0	0.182865282361265
(-) CAV2	0.1608011953352436	0.0	0.29550006103300436	0.006771704784496933	0.07100698057202605	0.11516178686262904	0.009858249087708203
(-) CBR1	0.0	0.0	0.24485768222267384	0.005295845410428958	0.0	0.06041651675694381	0.06297621351211818
(-) CCDC106	0.030474023965602254	0.06106488980590622	0.0	0.04519566270786034	0.08733599607261837	0.0004669602833900323	0.13308343682637672
(-) CCDC113	0.1528694572863851	0.02566729360297802	0.1334397021194771	0.0	0.24595507102779723	0.24493272654194284	0.04044133910941855
(-) CCDC12	0.043885765176250514	0.0129340622419208	0.0	0.10749232363256864	0.0	0.0025661576975572788	0.0
(-) CCDC122	0.271242476334163	0.0	0.2620914403760625	0.11812521849789911	0.31950403401459637	0.14075961512812937	0.03812630262548669
(-) CCDC125	0.15610982234247858	0.0	0.0	0.07978420471601917	0.07271518833143704	0.0	0.013909057791395221
(-) CCDC149	0.0	0.058094836180666146	0.0	0.0	0.22510583074714577	0.042695838924466774	0.2269300703804758
(-) CCDC150	0.02829845705211786	0.0	0.017131198894255142	0.21030593920133822	0.0	0.06765832706799334	0.05262775335912748
(-) CCDC169	0.25848590725695886	0.2769409101643401	0.05087775102298666	0.16507942842917087	0.039428325119962956	0.013022860697311909	0.3084442405457498
(-) CCDC171	0.3448879968357353	0.08132764394959237	0.10379027806076538	0.1685050224475131	0.10084117743619857	0.14236981921772	0.15152880472207025
(-) CCDC174	0.0792206800084788	0.001275738845961402	0.0	0.01708965036558781	0.04722215399878434	0.007100371250831406	0.0
(-) CCDC39	0.33738461507399337	0.010823759480769454	0.11350221879580517	0.07989091839912948	0.05777734290674921	0.16120192362191718	0.15112119073994962
(-) CCDC43	0.05326271630910991	0.0	0.0013106528771012547	0.07136872676737119	0.0	0.0	0.15785496838605487
(-) CCDC71L	0.33643449619632765	0.006124807696059217	0.018156944362597984	0.16403888625107763	0.0	0.022753231403528203	0.0009850079689162818
(-) CCDC74A	0.11524743897391691	0.2709811158842924	0.01931590419871375	0.046455443962779105	0.08310658160060373	0.09545442286060671	0.0
(-) CCDC88A	0.0	0.1802095145051638	0.0	0.06179840529159052	0.0	0.0018066793202494381	0.03256437646100718
(-) CCDC91	0.02354526642367899	0.0	0.0	0.12751807969464019	0.0	0.038326410355379176	0.0
(-) CCDC92	0.0	0.06735003951879494	0.006454514722594361	0.0	0.1906773313158777	0.0013809932472883212	0.03404291898456111
(-) CCNA2	0.0	0.0	0.0	0.1795825428200348	0.0	0.0	0.0007124308033761458
(-) CCNB2	0.006634338891382049	0.0	0.0	0.13683181531473865	0.0	0.0	0.0010682743892685648
(-) CCNC	0.0	0.0	0.0	0.12684862001052102	0.0	0.0	0.005998356018287003
(-) CCNF	0.0	0.0	0.0	0.18645838128518444	0.10299529973449636	0.0	0.0
(-) CCNJL	0.1052589573318741	0.0	0.0	0.0	0.49457921147814526	0.0015944092547677403	0.0
(-) CCNO	0.16955792046118806	0.0	0.0	0.012279749823580278	0.23444944912600743	0.1253018324673375	0.0
(-) CCNT1	0.07400109389099338	0.0	0.0	0.11798515481696409	0.01965739072203316	0.006135043131001632	0.0
(-) CCNT2	0.006696675152834853	0.0	0.0	0.07002984873240706	0.0	0.0	0.08830165017667718
(-) CCSER2	0.02847619023092252	0.1138956942062697	0.014809050097996617	0.0	0.0	0.0	0.08388009739976804
(-) CCZ1	0.022506569466007216	0.029057712553363556	0.12618311714418187	0.0	0.12283770466975474	0.06749230496397461	0.0
(-) CDC14B	0.03919820586231358	0.02508711627728509	0.0	0.0	0.20041584238586127	0.011307593779692942	0.010825278452402524
(-) CDC34	0.02454399376127827	0.1198465522672357	0.02029591009762907	0.056207081663900586	0.005049274802072162	0.0	0.0
(-) CDC40	0.0	0.0	0.0	0.156770864492192	0.0	0.0	0.04663750809854575
(-) CDC42EP1	0.0	0.03041159312163777	0.17171145247890185	0.029913617523877053	0.1010882734561172	0.05138474502520435	0.01542200191557634
(-) CDC42EP3	0.052749893063387884	0.07952474303821011	0.02903948182418956	0.022442560314202324	0.0	0.08312572619534105	0.0042397832572472595
(-) CDCA2	0.020007440743829652	0.0011699345253550083	0.016254249403048024	0.11380281240197128	0.0	0.0	0.0038484124014723366
(-) CDCA7L	0.015486517829246638	0.00416766054962225	0.0	0.09013235817407404	0.007478823576596062	0.0011817607451496224	0.07747140562976765
(-) CDH11	0.0	0.2742705875356762	0.6356313032351416	0.0	0.28227198389075103	0.0	0.26556954800548843
(-) CDH13	0.07968898104339085	0.09839036034202019	0.15372508966100581	0.03816519863754334	0.0940869190989678	0.0	0.34912634489925837
(-) CDIPT	0.15683053109719663	0.1485067679742061	0.07934984687478094	0.1669781669199805	0.06920299320169306	0.14081269248143502	0.03254276703739711
(-) CDK14	0.08262155975023551	0.04852833794730591	0.18999220577299528	0.0	0.06412083698409224	0.0	0.07270928967048677
(-) CDK20	0.04612782944657093	0.022340757303246014	0.0008299181501651538	0.006790832841209528	0.13396519115232058	0.190104308766986	0.009729527004330184
(-) CDKN2C	0.03781595656792159	0.038816642719998025	0.11877014558278648	0.27319604813004644	0.15185221548346908	0.0	0.005460494753445435
(-) CELSR1	0.041608190976101224	0.011071916844538695	0.08076154378651175	0.025403058176745357	0.4344452018781712	0.1626412315079336	0.0010475444842804643
(-) CENPE	0.0	0.0	0.0	0.16291918060692082	0.0	0.0	0.03609580904576355
(-) CENPF	0.0	0.0	0.0	0.18253001872716845	0.0	0.0	0.004380476805637956
(-) CENPH	0.07869531133301011	0.0	0.013691000544499352	0.13103674259120815	0.0	0.0	0.01403621976186474
(-) CENPQ	0.0	0.0	0.0	0.18772216141404718	0.0	0.0	0.04041761939819597
(-) CEP104	0.0	0.019775306433008073	0.1957171102169079	0.05276895812858545	0.04735968066480892	0.0	0.12610023113706764
(-) CEP112	0.13845829092760095	0.1863408519704026	0.0430431440050074	0.0	0.13141883853034828	0.03786402444982113	0.022715365399919092
(-) CEP152	0.0	0.0	0.0	0.2027522808283792	0.0	0.0	0.009038511917423794
(-) CEP41	0.0	0.0799176468430244	0.17055396430240868	0.0	0.09223518437621583	0.03348513783372533	0.08112647724316081
(-) CEP57L1	0.0	0.03818984150738943	0.0	0.23098185444034725	0.0	0.0	0.14282745466818214
(-) CERS6	0.1790973372619707	0.0	0.0	0.0	0.0	0.08421447675442029	0.0
(-) CHCHD2	0.08017088035434242	0.0	0.15388944519983624	0.0	0.017460446631859326	0.0	0.0
(-) CHFR	0.0413436356955032	0.02782385929057238	0.0	0.04743077630655608	0.6290298110305945	0.0	0.0014748317192362134
(-) CHID1	0.028858470158749754	0.1165690748436773	0.04559155307252525	0.0	0.0	0.05632617076726115	0.0
(-) CHMP4A	0.013839151991442188	0.0013710046857073799	0.0	0.06566391149114162	0.09840612037322091	0.0008232804717696969	0.0
