	P0	P1	P2	P3	P4	P5	P6	P7	P8
(-) ALCAM	0.07415483601725811	0.049840896719434986	0.0048548386148990616	0.0	0.0	0.18081255494553033	0.07102959051350939	0.0021992837572998615	0.0
(-) ALDH5A1	0.17922389241511455	0.0	0.0	0.0038105191785799317	0.2526314183849529	0.03286167459617725	0.28074616670314023	0.018608311956977514	0.0
(-) ALG12	0.0	0.0005892563836959273	0.0035004560504036863	0.0	0.0	0.0	0.0	0.10492733677819537	0.004950155714098513
(-) ALG14	0.06389239189603674	0.01098622956126383	0.0002780165923871408	0.01824137343609982	0.04165956419209262	0.007559233528865206	0.0	0.15819883057175774	0.004692181920752957
(-) ALG9	0.03475315242544625	0.005758217179394801	0.0067085200586216275	0.07593164338786054	0.0	0.07767054685172363	0.009451102509176067	0.07650279692731277	0.00539697228689282
(-) ALPK2	0.0	0.3521127901654978	0.0	0.06554075391789267	0.1225413312723189	0.3003029106562184	0.24202306353286232	0.0	0.006735485441816538
(-) AMPD2	0.0	0.18114336957537974	0.0009066407315451382	0.03747215797273507	0.047429079802038365	0.011223052381413998	0.014055905679024726	0.0	0.014996264896502987
(-) ANAPC4	0.020564849569969405	0.02834220579252782	0.0	0.19784033062916628	0.0	0.0	0.0	0.0	0.013197768307907648
(-) ANAPC7	0.0	0.0	0.0	0.15016600755553322	0.0	0.005646301221710852	0.0	0.026465010367381008	0.0730093932011332
(-) ANGPTL2	0.011748556514961128	0.3431845313852366	0.005280931784699306	0.006316731027357714	0.006676316946395571	0.0	0.20515754391139887	0.12530384987908594	0.0
(-) ANKEF1	0.0072016602986351	0.0	0.11669334047336068	0.07866087001913402	0.21081007033052224	0.2799921036190317	0.18969405612699838	0.002945633718780228	0.28085403920888125
(-) ANKIB1	0.010433844554782312	0.14118650287273599	0.09994296471857154	0.0	0.1220327942020941	0.0	0.016785755382730617	0.0	0.04842472502227496
(-) ANKLE2	0.0	0.0	0.011065757785499246	0.13939183271711428	0.0	0.0687077808056381	0.0	0.05452281541128871	0.0006369237241670822
(-) ANKRD10	0.08327617590074317	0.03779515833132552	0.0	0.03865426984151368	0.04680029410701041	0.0	0.0	0.0	0.0
(-) ANXA6	0.0	0.20950916159211058	0.1370379721606491	0.0	0.0	0.0	0.017159331279903194	0.0	0.11960344635554564
(-) AP1B1	0.04508773595489242	0.0035400341891053773	0.010254102939666266	0.033154272858938565	0.0	0.0	0.0	0.060678834003855944	0.0
(-) AP2M1	0.020369900048880486	0.10450162509360164	0.0	0.011286892182018827	0.0	0.008851176611036606	0.0	0.0	0.11779313048230919
(-) APBA2	0.10115188978004125	0.19478699594037865	0.0	0.0	0.2634645266178973	0.37575753021454944	0.33508037379003464	0.0	0.028081684355918388
(-) APBB1	0.04457759526836162	0.2212146977495371	0.0	0.0	0.007961534544664986	8.18308308789557e-05	0.0	0.019177552356287285	0.0
(-) APLF	0.24937191721293453	0.02899609051613268	0.1979067656964687	0.03571437560429757	0.052125431393230566	0.01644228776036455	0.018665621978541783	0.0	0.16736505752067174
(-) APOBEC3B	0.0	0.0	0.1519825354575675	0.14385496614427715	0.0	0.0	0.0	0.05090724252850421	0.015363246530686074
(-) APOBEC3D	0.1519657032138844	0.032496803444168144	0.18164760692331516	0.20197464175494484	0.030792364227938407	0.0	0.012645714533186981	0.13959505740766076	0.014821104040556674
(-) APOBEC3G	0.11045707793514016	0.3190632056038875	0.1466208071148254	0.01206530593312419	0.08064747861110425	0.021155334747056515	0.0245842039487047	0.0	0.0
(-) AR	0.27144764408129923	0.25131887065203395	0.12700057519599922	0.18931170814793633	0.2739541697095741	0.2841143276451546	0.0425601611780006	0.0	0.0
(-) ARAF	0.05572667245927	0.015994299075990415	0.0	0.022861038272745285	0.0011059985218148777	0.0	0.0	0.03298322292911097	0.0
(-) ARF1	0.03566247913956605	0.018495660260824442	0.0998465407903821	0.00752858725769262	0.02262187208623759	0.01069271991764695	0.0	0.04186010595302497	0.0003369165696612223
(-) ARF4	0.0	0.1637837284471335	0.09905900084668356	0.0	0.010231223347686747	0.04625342419645398	0.0077136002824358466	0.0	0.0
(-) ARFGAP1	0.0	0.09247670470597182	0.10698324107908322	0.0	0.011206722473613422	0.0	0.020307479760359497	0.0014197075550537739	0.09454339154586992
(-) ARFGAP2	0.00101960338493129	0.0	0.0	0.007324116290426182	0.02998824490530824	0.025060507048229656	0.17620412474080882	0.022511371759736304	0.0
(-) ARFGEF1	0.04221880785628157	0.0	0.014108198464950313	0.07820358205230246	0.030422832599134926	0.018555535460275302	0.004913092097544225	0.02491462544504561	0.0
(-) ARHGAP11A	0.0	0.0	0.009615231752001546	0.2349703245384778	0.0	0.018738843662320315	0.0	0.029187700147204964	0.0
(-) ARHGAP18	0.06401808852465991	0.10665841316398772	0.0038115923706633975	0.0689385541991077	0.0	0.0009700898413170885	0.0	0.004021965564278101	0.0
(-) ARHGAP22	0.09940593782852623	0.03780932337751462	0.20229364091825866	0.04929278651447182	0.0	0.058545526518084944	0.2246672180812377	0.0	0.23728117663844797
(-) ARHGAP23	0.0	0.0	0.047178905910471844	0.0	0.0	0.20396060438349595	0.10714020595723786	0.013497796836491915	0.0033680662370860013
(-) ARHGAP24	0.061853782560729834	0.16925002922242963	0.18506285674568185	0.0	0.0	0.0	0.0500554336751329	0.09528127161905031	0.3101457146199208
(-) ARHGAP35	0.0	0.11304547281604602	0.0	0.0	0.043788208869123435	0.05582755184267181	0.0	0.05041628385254688	0.025928498745939343
(-) ARHGEF1	0.03439226194581222	0.011747784097136584	0.00044425851828559505	0.02902802377140206	0.0	0.0	0.003485622408479306	0.04055080462771759	0.010813541952648135
(-) ARHGEF10	0.0802194627942345	0.1564389392064657	0.19933197672629688	0.0	0.07675510198143497	0.12499249059594603	0.01942549331645158	0.014969210348814615	0.07481315762613919
(-) ARHGEF10L	0.018829133380924075	0.01268327369605706	0.0	0.0010563109816159558	0.058320515207535034	0.055472817397873776	0.24978047728103978	0.02281269003918796	0.0
(-) ARHGEF17	0.00314118714967931	0.036059962267067716	0.0	0.0	0.1819306693894537	0.0	0.048582982807416575	0.0637853721723873	0.010253181317195017
(-) ARHGEF25	0.018477820134676987	0.20450514705249173	0.018147380388290824	0.09526072422562688	0.003473582417778072	0.009757157309906419	0.0	0.03383814856685	0.0
(-) ARHGEF26	0.2275225248173221	0.09009537743318045	0.0	0.057675430665090795	0.028624366975644078	0.0	0.04658409481707817	0.09861792707683373	0.0
(-) ARHGEF6	0.034319012587839974	0.4109826583771262	0.022155074287520626	0.011671141001062296	0.024847635334057944	0.024338535627033	0.0	0.0	0.0
(-) ARL10	0.021489513396547418	0.1943648605183218	0.0	0.17034124259814581	0.24707512140343332	0.2105026883940839	0.046902451551299816	0.43622601556182294	0.019732029307809706
(-) ARMC1	0.0010908621481697189	0.0	0.09000468486043522	0.11379211157622493	0.0	0.0	0.003035442256097856	0.004313113487728955	0.0
(-) ARMC10	0.11053170985886805	0.019669971628106818	0.05087329464632539	0.0	0.0	0.0	0.0	0.0	0.0017980307596397842
(-) ARMC2	0.09678236482757238	0.06056803102764971	0.019802014301986016	0.16496308040401628	0.0209523178869006	0.04181039752125907	0.01133803374862573	0.03650007377882937	0.1541813226797281
(-) ARMC7	0.0808384867012035	0.0	0.0	0.05178569109548157	0.010567545158200497	0.0	0.0	0.052883109100228344	0.031353388153345305
(-) ARMC8	0.05789860421041561	0.0	0.0	0.04492376280926938	0.0022740736449456318	0.0	0.0	0.06184581586830684	0.0
(-) ARMCX1	0.0	0.2472603610884903	0.0005023104107091074	0.0	0.0	0.0	0.17414760023977285	0.20458760963547784	0.0
(-) ARMCX2	0.22022662336619644	0.35062931643586204	0.0	0.027769006372984573	0.0	0.010045887761079626	0.08236750593362177	0.06785565066937656	0.0
(-) ARMCX4	0.10566463061185404	0.2019283427598289	0.0	0.003356874784367383	0.0	0.0	0.010152923664261716	0.44590542023203655	0.0
(-) ARMCX5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21906770534178385	0.0
(-) ARSD	0.016177373525476223	0.3517497494969764	0.0	0.0	0.12637354432732892	0.04347960986284068	0.09709850486193733	0.0	0.039681538116217184
(-) ASAH2	0.09783713368263365	0.08544121074040838	0.048753767582039656	0.1693737661600063	0.12317213709066532	0.26880746925403876	0.04355111803608082	0.048699395735367586	0.02175943516193847
(-) ASB14	0.4377110201750847	0.19740566594076855	0.07911616799456642	0.1468974173343754	0.10078249139037773	0.1496554334746146	0.09817087131864144	0.14979083474631327	0.19270863030027116
(-) ASB16	0.12395779527785564	0.09880770181977845	0.0	0.05977725681688589	0.006856123046377741	0.01259206674817059	0.0	0.006925534495312126	0.09037395027491524
(-) ASB9	0.24862862050720755	0.1005749245333365	0.07616175455290601	0.037981539727267664	0.10880818465617208	0.0	0.017333312941824493	0.0	0.015793532915937925
(-) ASF1A	0.01604477695578375	0.01350281090937421	0.0	0.186267405830507	0.0	0.0021528495088124	0.0053341355280986935	0.0	0.018146202318776047
(-) ASNA1	0.01534522290490158	0.024786037709336583	0.0	0.054393569368213386	0.0	0.0	0.0	0.006015453171649428	0.08133940351262325
(-) ASPM	0.0	0.0	0.001961786738249801	0.19461330551121814	0.0	0.011754849623096444	0.0	0.02161209469853587	0.0
(-) ATAD1	0.12672386604365318	0.013956049209518574	0.0	0.01247461779828934	0.0	0.008906896589046762	0.0	0.0392512026883413	0.0
(-) ATAD3A	0.0	0.01480266891424828	0.034576526104373284	0.016071719735095677	0.0	0.0	0.0	0.11476503386520971	0.074625297468279
(-) ATG5	0.006133916939089203	0.00560394057255849	0.0	0.1558473160851022	0.0	0.030573770892222803	0.0	0.027231176075229933	0.005591633248457953
(-) ATL1	0.3176785479400991	0.019646073162581715	0.0	0.030342077145138396	0.08055771997756529	0.23780559661890405	0.0	0.0	0.0654460746856929
(-) ATOH8	0.05636954769255985	0.2606354841561309	0.09153151030949502	0.011960009976760786	0.0	0.182299944125638	0.12683050471719878	0.2185825014161717	0.23793235854898198
(-) ATP6V1A	0.07093312836076225	0.0	0.0	0.024277826375644098	0.0	0.0	0.0	0.0	0.12332149950454555
(-) ATP6V1E1	0.04943918006268712	0.020172155456039353	0.0037911646646546773	0.02949733306370716	0.047110233144835305	0.0	0.0	0.020843258913256498	0.0028426962752295237
(-) ATP9B	0.0522857663618578	0.08530522784389546	0.006483537550517833	0.006121781986657475	0.07236981864609689	0.12147358224390176	0.0	0.04280905353010436	0.008093874145543637
(-) ATRN	0.0	0.11735258947464616	0.04106615777580234	0.0	0.1452574869028307	0.08140506344790964	0.0	0.0	0.0
(-) ATXN1	0.0	0.20853633851271966	0.0	0.0	0.14322329963292868	0.07867071860099782	0.038712796173145055	0.0	0.0
(-) ATXN10	0.029453409477841943	0.020157845269692984	0.00201709906688018	0.044118916746434526	5.646334872190986e-05	0.0	0.0	0.04170675758685352	0.0006599930534008875
(-) ATXN2L	0.0	0.10800079475801062	0.004987580394777629	0.08345994433000853	0.0	0.0	0.0	0.034665632338292694	0.013771099058318246
(-) ATXN7	0.04922811032226372	0.11247664852056402	0.0	0.0016096681247762107	0.00036404420997812115	0.03168292912304488	0.002746849549113551	0.007524270236851296	0.01971273633943427
(-) AUH	0.06399799866868637	0.0	0.0	0.09738579568132964	0.0006774765161998065	0.0008911767562684042	0.03626023610470757	0.0	0.06742119684661173
(-) AUNIP	0.010507654868029442	0.0	0.022099011509624136	0.20888706602789023	0.0	0.0	0.0	0.21132421491410786	0.04136376339067502
(-) AURKAIP1	0.0	0.012442911608082299	0.07472609524169892	0.03449863381089513	0.0	0.0	0.00965760605004512	0.04132156467463941	0.049080773248308354
(-) AUTS2	0.17136606951767375	0.13124303986384744	0.0	0.010079994454972428	0.27487022829644997	0.25236196254992865	0.31500116951535095	0.0006950004586251464	0.0
(-) AXL	0.0	0.10617640973363662	0.1524518872651719	0.0	0.0	0.15270936011892264	0.11296676441273211	0.012978658116922627	0.0
(-) B3GALT6	0.011839000188206153	0.188677599610657	0.09327847031419848	0.0021084462205023173	0.01703797163091401	0.014767521930836355	0.009228738744304882	0.03252303724686504	0.005355673094629659
(-) B3GNT5	0.42306203831667494	0.07422308057605582	0.011331668805123207	0.09977618736431287	0.010230893871037603	0.006560545029933504	0.043399703416684546	0.06406839728002839	0.01105324366956991
(-) B3GNT9	0.0	0.17591990435944044	0.0	0.013560452896061769	0.07317219080447039	0.24901546513026807	0.015166156528773142	0.07528759743945865	0.09422068505557414
(-) B4GALT6	0.2829130592598153	0.0	0.22992065113161603	0.042750731876298895	0.0	0.0001467511937835089	0.4070326723365134	0.0	0.10182565043227962
(-) BACE2	0.02697864509169438	0.0	0.2138374349922799	0.0	0.0	0.0	0.21969826766409337	0.0	0.15573484354024708
(-) BAG2	0.04499060846478885	0.13352156399340986	0.017052335328807205	0.15786442010345061	0.01774919820606739	0.0	0.0	0.04402021630282736	0.0
(-) BAG4	0.04385996181028663	0.0	0.03596610206256215	0.09524039855507846	0.008885865909993958	0.0	0.0	0.02565870954594376	0.001684657692722984
(-) BAIAP2	0.08224846139110578	0.0	0.0	0.16491167240640286	0.0009227215482846821	0.0	0.02620005027577627	0.0	0.0297960414622465
(-) BAIAP2L1	0.16386516696163883	0.0	0.13354428872395696	0.005873370922831746	0.03825072740580778	0.0	0.17155650062212763	0.012783166886046877	0.23947248129289486
(-) BARD1	0.0	0.0	0.0	0.12886811570517082	0.0	0.0	0.0	0.033764097257134175	0.0
(-) BASP1	0.014382059199624198	0.0	0.07079528644826431	0.24692063443469484	0.013491972713371441	0.25934855419962094	0.013437995993206008	0.060877498905957055	0.13273053453951308
(-) BAZ1A	0.0	0.008228856119938064	0.0	0.1803225279092122	0.01279805509855188	0.0	0.0	0.055576694733206984	0.006900342341976582
(-) BAZ2A	0.06875627140208714	0.0	0.0	0.02237986879391888	0.0	0.0	0.008204398838676045	0.01975641319740287	0.0022256616247477196
(-) BCAT1	0.0	0.15487857742588085	0.1316179044757965	0.1782324099268507	0.0	0.26259045285356647	0.0	0.02977252169031931	0.0
(-) BCDIN3D	0.19456812653520117	0.0	0.0	0.0	0.05130554001854962	0.015546945978215546	0.0	0.009249639423207945	0.0018625437239902028
(-) BCHE	0.5148502426558567	0.31320583250351997	0.14466661441110315	0.0	0.0	0.0	0.004515579853487113	0.01062526619126191	0.00384591943990455
(-) BCL6	0.0	0.06136972878520361	0.12974458017915366	0.0	0.07609039311689912	0.0	0.0022958236627928885	0.007375449039015271	0.004946729060119076
(-) BCLAF1	0.0	0.0	0.0	0.15410053977627095	0.013789321043750335	0.0011715774353546593	0.0	0.014265931505482913	0.004441456677802811
(-) BDH2	0.07159516044532452	0.07233888809872652	0.01786254726860207	0.017886507547919	0.016003147330942175	0.0	0.024212653923324556	0.0	0.053689780364211126
(-) BEND6	0.0	0.3188106539062665	0.14686719662735426	0.06934965780643984	0.12641362766726447	0.13359148454739098	0.051595192333664455	0.0	0.0233242933309837
(-) BIN1	0.0	0.10897929955673256	0.07712300014636254	0.01688511782224818	0.04846231809404363	0.030550213645137256	0.14240585038047263	0.012137089703851989	0.0
(-) BLMH	0.12760145160633138	0.006478237269755327	0.0	0.03393215227117858	0.03080809669149095	0.044635103832852296	0.0	0.0034156073511632354	0.006706586757900289
(-) BNC2	0.15897369845619225	0.13118350434569054	0.1703379880363258	0.06930518903123656	0.0	0.0	0.0015142123512124905	0.0	0.0
(-) BNIP2	0.0734982192155335	0.0	0.0134148839596615	0.1453646703363179	0.0	0.0009069809956858701	0.0070858495997141845	0.0	0.0
(-) BOLA1	0.07350551860641458	0.0	0.019952969917685696	0.0	0.04392894087827337	0.0	0.1074317347646792	0.04816060302802363	0.09147407520660283
(-) BRCA2	0.019672565082564014	0.006988225621993879	0.01919741618274517	0.29226583464840467	0.0038671003405187083	0.0	0.0	0.02963585920169303	0.01050050280775315
(-) BRD7	0.08645585855101823	0.0	0.0	0.1553321202638301	0.0003446286821177163	0.15046788050904641	0.001394168572869526	0.0	0.0
(-) BRD8	0.0	0.0	0.0	0.16148392258747685	0.0	0.002524713891573203	0.0	0.0	0.08812895151826576
(-) BRF1	0.0	0.02259147560843945	0.0	0.027853300530776143	0.0012217466025179577	0.0	0.012520917298634755	0.04659427128635453	0.07740011802728818
(-) BRIP1	0.0	0.02170925263509103	0.0	0.20473689561216524	0.0	0.0	0.0	0.016311289193861944	0.0008181125610273933
(-) BTG3	0.0555718821084948	0.022536382709309688	0.0	0.0370234939644501	0.0	0.0	0.02238777817073832	0.05255837534215817	0.0004066955965408079
(-) BUB1	0.05841344827021001	0.0	0.008233885074737133	0.2622258589557358	0.0	0.0	0.004208838583869048	0.08609544036906298	0.00494608423048127
(-) BUB1B	0.002444330205188219	0.0	0.0	0.21848667934100252	0.0	0.0	0.0	0.0496773796547253	0.0
(-) BUD13	0.0	0.08377784964130074	0.0	0.11371803060212216	0.0	0.03232803818531532	0.0	0.06615187079760947	0.0
(-) C10orf76	0.05220310742203031	0.02347200037167432	0.0	0.08910417499922921	0.04072769973272102	0.0	0.0	0.022342398410789964	0.004032531701428806
(-) C11orf45	0.10696051863977893	0.04435166256669079	0.15164389212124457	0.28757177541704704	0.01678708786704367	0.02488130839737767	0.19819541258930354	0.1415220198359061	0.0744428775484104
(-) C11orf58	0.061499006187670326	0.0	0.0670756186092392	0.014053455524954692	0.0	0.0	0.0	0.0	0.0
(-) C11orf80	0.13186112109577555	0.0	0.028975479138444758	0.18491509102844547	0.022879188444202656	0.1073293488311609	0.0054664098737538065	0.13773521320293047	0.0
(-) C14orf132	0.0	0.17377155554846194	0.09453011035903404	0.01005551764012209	0.14248837406750473	0.017257361719612938	0.35699500786746974	0.0	0.032941473767008386
(-) C16orf58	0.0005015588767172338	0.13635500968125408	0.04935919319649339	0.0013163296650588426	0.009357577870787802	0.0	0.00039496460781742994	0.010133081572260063	0.0006811567809230283
(-) C18orf54	0.0	0.0	0.03224123975607706	0.1968556511944283	0.0	0.0	0.0	0.0951164833798311	0.001900390265918436
(-) C19orf24	0.03213502770899842	0.06920350553144207	0.0	0.03727057541189172	0.0	0.0	0.0	0.004672270004893961	0.08682704789746899
(-) C1QTNF1	0.15668070239548562	0.21110778711562941	0.0	0.0461933219024816	0.1886805114046664	0.0427257030587332	0.0	0.0	0.01051449024671633
(-) C1orf216	0.0	0.09082724382202303	0.0	0.0	0.04162844917522192	0.0	0.0	0.010717691315602594	0.1311004871798443
(-) C20orf194	0.0	0.09158881208091259	0.0	0.0	0.10311264151480456	0.020996973614764738	0.0	0.03925726749667182	0.0
(-) C21orf58	0.0	0.04054407332007016	0.045237865662963124	0.04784781830747537	0.0	0.02489784248246464	0.0010327893539346497	0.017422123385603217	0.11573164928697662
(-) C2CD2	0.0	0.014743702958867294	0.02601899820001386	0.019652780344262103	0.0	0.2619107631286487	0.03971376274761671	0.0	0.061374735768418946
(-) C2orf42	0.10379353321896737	0.05267285231527431	0.0	0.017686088363186442	0.08026696747560533	0.0	0.0019316080814737804	0.0	0.0064747121974479205
(-) C3orf14	0.24669571152867473	0.0	0.02965470266757632	0.0	0.0	0.0	0.1812551720818515	0.05026720677702017	0.15511304986872013
(-) C3orf18	0.0	0.22580666667053834	0.08475920462407369	0.12605064711028766	0.0	0.09494428555806471	0.0048147144421240165	0.10453325737229953	0.0
(-) C3orf52	0.0	0.0	0.009558940123047211	0.1812656857898975	0.0	0.026876091998831897	0.010704693546307723	0.2172951213437022	0.16675684880097283
(-) C5	0.14922369192487306	0.16707336944145168	0.0340470799991979	0.036632209979570236	0.16010198016173358	0.03520017516232747	0.0	0.0	0.12968044938555098
(-) C7orf61	0.3292924862841025	0.10593485020329305	0.07461047304394312	0.06566708011039825	0.018756914173515774	0.06082490707606441	0.10850681471435875	0.10196258708330788	0.04983024356015173
(-) C9orf72	0.1529266503861718	0.23956669352042073	0.0	0.24379425937163252	0.06063292282744012	0.01639571573085801	0.03362538828315911	0.0	0.10730103656923273
(-) CAAP1	0.15785398873030507	0.19811368929820092	0.0	0.08200095135622762	0.059896859854886055	0.0	0.031624111184568475	0.0	0.10915878433308641
(-) CACNA2D1	0.2912480225027182	0.21731037560278016	0.0	0.0	0.0	0.3396436904210196	0.039894834719243294	0.18706130722756587	0.005620849754006961
(-) CAMK1	0.07590788176700336	0.23575826976920272	0.0	0.012087528275150743	0.013797437561965598	0.11734221562654845	0.11411292079966372	0.05438637648628288	0.0
(-) CAMK1D	0.1453723488794026	0.13261671837005132	0.0	0.051407253467991666	0.11911940558538045	0.363399616492997	0.14529226398302517	0.0	0.1465047534833783
(-) CAMK4	0.1316548954606243	0.017141824457918106	0.2830207187669568	0.0	0.0	0.0	0.011851080830114848	0.03327615553354207	0.1414628162716492
(-) CAP2	0.031815722238034506	0.05292356494312856	0.12162952135722495	0.011728650228717937	0.09458699036564783	0.0	0.022016563643028564	0.0	0.0
(-) CAPN1	0.035672199451433816	0.02463395333792489	0.04939603528680962	0.07605508503558067	0.0	0.0025549286701609807	0.0	0.0	0.014258359815612144
(-) CAPN10	0.05860884882769199	0.016957198663803484	0.0	0.015031366270097766	0.0	0.0	0.00041316681639317655	0.0	0.013233809022882969
(-) CAPN2	0.0	0.0	0.1066864137121933	0.03782866598510783	0.0	0.054226499319777	0.046007150032587596	0.0	0.0
(-) CASP2	0.008831161069534736	0.002966134102858145	0.0	0.0006616358109751922	0.09677577192994906	0.004329961834934613	0.0	0.0	0.09684723668293017
(-) CASP4	0.057965725097529036	0.0420354850903742	0.06317961224040597	0.03700468849956093	0.0	0.008806791931958708	0.0	0.0	0.0024924598842221445
(-) CAV2	0.1510042400205227	0.0	0.14520755047057604	0.0	0.049466040606896175	0.08086038977259315	0.01324919300029417	0.014641774699445212	0.12933867680514965
(-) CBR1	0.0	0.004268116338545077	0.1292652852994732	0.0071283845087743835	0.0	0.003745923081907348	0.05604452424653059	0.024102851473057744	0.05299167767232548
(-) CCDC106	0.03451618845489129	0.14106080854628644	0.0	0.008796429622485799	0.03715774327262401	0.0	0.0018588274859215152	0.07865151847252923	0.0003553980374997027
(-) CCDC113	0.15387158939759205	0.010562295177453893	0.06067400796066308	0.0	0.14027307047032314	0.1552457962341845	0.17798421267704675	0.0	0.16922657822080595
(-) CCDC12	0.026407345126169716	0.009334346737617133	0.0	0.06637111661232922	0.0	0.0	0.005195631401312653	0.07032026443976228	0.008892540642965888
(-) CCDC122	0.2434529421293904	0.0	0.1609148359717244	0.1228001642927599	0.26303812140752103	0.0	0.12159591956118489	0.03581464190866584	0.07887387916413428
(-) CCDC125	0.13746235299660686	0.0	0.0	0.13109808611852825	0.057910110632494356	0.00504998790979519	0.0	0.0	0.0
(-) CCDC149	0.015124313446198452	0.17553228002891907	0.0	0.01482892483046454	0.15617223826308635	0.07264212297242578	0.04357273050206513	0.0	0.0002437633888293169
(-) CCDC150	0.03663613536822426	0.0024052578597507177	0.008261074561718023	0.23610722108446786	0.0	0.004539872805418928	0.0	0.044626547515018974	0.10111091871373078
(-) CCDC169	0.28926071060234676	0.42027824178532497	0.04036789654852186	0.2306202620824114	0.03489234720123964	0.054485781324501846	0.02028976405194864	0.040668384784691654	0.0087575993833919
(-) CCDC171	0.34067899526616363	0.13935833264167596	0.04244274305214697	0.16980882482932416	0.06127366176366696	0.027479106144957723	0.03883500408765529	0.07906667608940762	0.15745509335591582
(-) CCDC174	0.0631924713934028	0.0	0.0	0.0067303370014710215	0.017212557856948696	0.016991103901152365	0.020073229361906142	0.019295741961460264	0.009072410734990885
(-) CCDC39	0.3381700961379954	0.061734461117646015	0.03498791839044749	0.0651146636213517	0.021184969779019482	0.037264445408641524	0.06430856504520611	0.06428426394532166	0.16791424420605944
