	P0	P1	P2	P3	P4	P5
(-) BAG4	0.04142143141118559	0.0	0.049762644119035464	0.08430320334332497	0.005175465270363102	0.0
(-) BAIAP2	0.07814344122970897	0.0	0.0	0.10661639280176073	0.0	0.04168027685470322
(-) BAIAP2L1	0.16460724974126076	0.0	0.22816429828816182	0.003312188892036736	0.036307438446379126	0.296047331040978
(-) BARD1	0.0	0.0	0.0	0.12240163274785967	0.0	0.0
(-) BASP1	0.011516979967671669	0.005329916778388119	0.14853006549596748	0.2376011869830177	0.10807049667237249	0.10926156129092715
(-) BAZ1A	0.0	0.014847682873956956	0.0	0.1716531967352582	0.010616456305258171	0.0
(-) BAZ2A	0.06330554116256934	0.0	0.0	0.03442713465833622	0.0	0.007409932613312911
(-) BCAT1	0.0	0.2158829528942546	0.16395457400851374	0.1571354842928478	0.07854565597989087	0.0
(-) BCDIN3D	0.17675061193797953	0.0	0.0029614283454481613	0.0	0.09425999442682041	0.0
(-) BCHE	0.4798219531916799	0.331836953129941	0.18918405945107178	0.0	0.0	0.0
(-) BCL6	0.0	0.06162132883311807	0.17102883111005862	0.0	0.08788913471503326	0.005954746287658238
(-) BCLAF1	0.0	0.0	0.0	0.12147176443307517	0.005852199533067712	0.003886079719306568
(-) BDH2	0.07505813043081949	0.07366742687074536	0.024894160755525297	0.0002952641690940862	0.015315798496721765	0.064984395266617
(-) BEND6	0.0	0.3583215526626542	0.18725653448127644	0.021327268464047783	0.16409262065970276	0.0620685852351995
(-) BIN1	0.0	0.10892383692285534	0.11190210656880546	0.01023129514677572	0.07759993267051649	0.07526861312541917
(-) BLMH	0.12135538169445263	0.01245965652340886	0.0	0.025789383195889838	0.057325104228470404	0.0
(-) BNC2	0.1470655529121322	0.14556791211828915	0.2087369190640579	0.014718029515546845	0.0	0.0
(-) BNIP2	0.06766142060617518	0.0	0.0036354957310753633	0.08729653181885157	0.0	0.0
(-) BOLA1	0.08677931098289687	0.0	0.04373499261228463	0.019524873393093275	0.05486200606666444	0.15113201829646034
(-) BRCA2	0.020476572709162675	0.016750177991281947	0.0	0.2331570243643777	0.0	0.0009316382334730826
(-) BRD7	0.07645507340148736	0.008508359679075398	0.0	0.12064450056375758	0.04258356919949008	0.0
(-) BRD8	0.0	0.0	0.0	0.11777527509233483	0.0	0.0636258978460773
(-) BRF1	0.0	0.022229300317005676	0.0	0.056043256025052404	0.009343954256583674	0.0827528050888127
(-) BRIP1	0.0	0.026723966152868962	0.0	0.15750862117720285	0.0	0.0
(-) BTG3	0.05981515843212884	0.01999913883217639	0.0	0.06620671804248801	0.0	0.015232593541321893
(-) BUB1	0.05360201701496404	0.0004303461071541343	0.0	0.26883068506510094	0.0	0.0
(-) BUB1B	0.000368608741823994	0.0	0.0	0.20081782920272495	0.0	0.0
(-) BUD13	0.0	0.09448904620800541	0.0	0.13806650034728765	0.01510044805778974	0.0
(-) C10orf76	0.05969662346588261	0.021368175481466457	0.0	0.07890062257390304	0.03606964095984904	0.0
(-) C11orf45	0.13074751106473093	0.05803929737008088	0.2246649596490232	0.2899415860902684	0.010494294531645292	0.16431912485858519
(-) C11orf58	0.05336649865472742	0.0	0.09324278790885626	0.006552287092774994	0.0	0.0
(-) C11orf80	0.13098442635500632	0.0	0.05059812389673302	0.24101870294283662	0.09712493340843895	0.0
(-) C14orf132	0.009403094937425223	0.16512900760539914	0.14106408971683673	0.0	0.14807030162935447	0.25019921304783216
(-) C16orf58	0.0	0.14435021738654114	0.06214243037104255	0.007884468870670625	0.002511256128295599	0.0
(-) C18orf54	0.0	0.0	0.040202253332871786	0.2202471586864625	0.0	0.0
(-) C19orf24	0.031422344131008646	0.07178619249240543	0.0031507574097249876	0.03932479897029722	0.0	0.05825841165971626
(-) C1QTNF1	0.167463592290013	0.21331499788853445	0.0	0.002399065836305021	0.22911290573303075	0.026500509816980395
(-) C1orf216	0.0	0.09103820763345696	0.006241522455648674	0.009555908037410512	0.047845905037807605	0.11405273008678986
(-) C20orf194	0.004090179884014933	0.08908883579496912	0.0	0.00679211806079949	0.17123141546537538	0.0
(-) C21orf58	0.0006667911620473496	0.04711848859936555	0.07773360513462149	0.04899283062951665	0.008803048814622171	0.08802550940961901
(-) C2CD2	0.0	0.055533217435416275	0.0604378594532504	0.0120395990771344	0.08710965148048044	0.07790213208310004
(-) C2orf42	0.10194790280448146	0.04707529456441297	0.0	0.0036766737920783505	0.08820702027843715	0.012908421670185575
(-) C3orf14	0.24835277223292299	0.0	0.08725491118528851	0.014464780252855223	0.0	0.23124520154509745
(-) C3orf18	0.0	0.259938323638965	0.11392074859743097	0.15390295830475198	0.052052852484329074	0.0
(-) C3orf52	0.01638006124131547	0.0	0.060596243147260295	0.3245396059248887	0.0	0.13007156171684223
(-) C5	0.15428872702700663	0.17259909620971628	0.04753161701961387	0.0	0.17952021589756878	0.1263670611061358
(-) C7orf61	0.31627121020843113	0.11550020358951094	0.13184089755282646	0.12605434016435008	0.0462147058039109	0.08818898977191385
(-) C9orf72	0.17252892972421596	0.25782115278866785	0.0	0.13484614484923602	0.02021863404410391	0.13130315671033477
(-) CAAP1	0.1787255810903927	0.19996504094020803	0.0	0.04292973472684128	0.03261663281578806	0.1204500357227496
(-) CACNA2D1	0.2825160442749756	0.2576508217292702	0.06082631257123976	0.09474334017251088	0.21452334612958687	0.006960619624677632
(-) CAMK1	0.09082352993506579	0.2607536947817587	0.0	0.03284115884976973	0.07577419031071088	0.06006346069203886
(-) CAMK1D	0.13881165634682102	0.17813988254738644	0.006673305779875049	0.057626483908170295	0.26010599871834916	0.23010457438863058
(-) CAMK4	0.12491826937874587	0.01590163759980177	0.42001143496609833	0.01114010661680143	0.0	0.10400121604118544
(-) CAP2	0.03556354228118704	0.05277175411328626	0.1490994583107113	0.0	0.10325008456284802	0.002905759271099915
(-) CAPN1	0.040497344861919415	0.02911876458624115	0.05897080554011141	0.03730314555332306	0.0	0.008967024937157841
(-) CAPN10	0.05327233050524761	0.017037274064452542	0.0014038695807035721	0.010487977894684553	0.0	0.010038982481237933
(-) CAPN2	0.0	0.0	0.14216011466866926	0.024661955767027153	0.007591744224692891	0.021944699609788933
(-) CASP2	0.012252818111206078	0.0	0.01028745601989744	0.0	0.11397369916125018	0.08275655329961067
(-) CASP4	0.06138354646712408	0.04867665664006786	0.07878194903159012	0.009305649667108423	0.0	0.0
(-) CAV2	0.14986835563369244	0.0	0.24172566414463473	0.00318773985300607	0.05634156217537175	0.1176200592321905
(-) CBR1	0.007013698466563099	0.004176157746671655	0.19489144778435621	0.01017664696949491	0.0	0.06489662943058756
(-) CCDC106	0.04852622946052635	0.14125567009208895	0.0	0.0494635302267274	0.07547000407183527	0.0
(-) CCDC113	0.14907006789573599	0.019920979692105222	0.11132785475377635	0.0	0.21088447217151932	0.2583568468675221
(-) CCDC12	0.03250896221853328	0.011371453317381987	0.0	0.10609053199739796	0.00020147438128384143	0.003463163352663664
(-) CCDC122	0.24952357204784484	0.0	0.21401261155081375	0.11396481992556133	0.27113385157023845	0.14843136076931968
(-) CCDC125	0.13388596794810198	0.0	0.0	0.08278017301101798	0.0628389452601868	0.0
(-) CCDC149	0.02822062809803567	0.18405172422094818	0.0	0.0	0.19458491613771706	0.045485520321437836
(-) CCDC150	0.03635588743235959	0.011463169732887458	0.012870615471181063	0.2087253814585884	0.0	0.07065895857006803
(-) CCDC169	0.2794739500468513	0.4510746547487465	0.03453325612756213	0.17702168802620216	0.036417483256187155	0.015616124653580477
(-) CCDC171	0.3274126471914979	0.14295516364373656	0.08070630776193086	0.17147967871380101	0.08949893483035852	0.15151886383411484
(-) CCDC174	0.06271110359290365	0.0	0.0	0.018853400023593987	0.0415572481501925	0.009939167017137374
(-) CCDC39	0.3284136435377944	0.05921319428369903	0.0877053160519282	0.08626953849575424	0.0513179041543025	0.1701754673374173
(-) CCDC43	0.0904360170274113	0.05419064398722661	0.0	0.07742525241660844	0.0	0.0
(-) CCDC71L	0.29920818407357436	0.0	0.01932791126319924	0.1562084913689223	0.0	0.022533035410630793
(-) CCDC74A	0.08129363335842248	0.2867639484449279	0.04023642925691161	0.041434171532339734	0.07460425988715466	0.10077852363014923
(-) CCDC88A	0.0	0.22376592531187128	0.0	0.060214416554184566	0.0	0.0031975452536038814
(-) CCDC91	0.01568224274237037	0.0	0.0009916070650800592	0.1244081794777885	0.0	0.040006370637803726
(-) CCDC92	0.0	0.09038818529245511	0.009466922459960891	0.0	0.16227990433331696	0.0016924829853646435
(-) CCNA2	0.0	0.0	0.0	0.17494794470821323	0.0	0.0
(-) CCNB2	0.006031442653373626	0.0	0.0	0.1335474837927193	0.0	0.0
(-) CCNC	0.0	0.0	0.0	0.1258747399004538	0.0	0.0
(-) CCNF	0.0	0.0	0.0	0.18059273346593718	0.08640933501737093	0.0
(-) CCNJL	0.08537458257590604	0.0	0.0	0.0	0.41868850399867225	0.003232315018846292
(-) CCNO	0.1363390126378813	0.0	0.0	0.014461746978898852	0.20135866745842146	0.13727142714375618
(-) CCNT1	0.059495519799652105	0.0	0.0	0.11652339153787225	0.01765598233488698	0.008963777316029469
(-) CCNT2	0.030031483513513833	0.02519530225833817	0.0	0.07345181942233674	0.0	0.0
(-) CCSER2	0.04465957444501556	0.16279902826575285	0.016459685008558315	0.0	0.0	0.0
(-) CCZ1	0.01768487094142555	0.02691567070199309	0.1078322976353049	0.0	0.10324921429150774	0.0696377967231181
(-) CDC14B	0.035059524992174976	0.02914760046116951	0.0	0.0	0.17121661143012779	0.013785601416954556
(-) CDC34	0.00889406740820699	0.12534162110116137	0.02887142520104516	0.05510040099189371	0.007122927164728526	0.0
(-) CDC40	0.0	0.011657224723349305	0.0	0.15900639462847235	0.0	0.0
(-) CDC42EP1	0.0	0.03947319656134384	0.14122304648163322	0.02928809219176379	0.08411214061831773	0.05286558999940443
(-) CDC42EP3	0.04826492063403223	0.07943671824949068	0.03172408785460306	0.019063357094866933	0.0009003236810811712	0.08635646705811767
(-) CDCA2	0.018882250483920567	0.0	0.012631680699877534	0.11143703099788334	0.0	0.0
(-) CDCA7L	0.033392487188215914	0.0373331210116578	0.0	0.09131432983977392	0.006780778020138747	0.0001416896420439277
(-) CDH11	0.020088685670271438	0.4431058755017191	0.5161016997507057	0.0	0.24631847687261074	0.0
(-) CDH13	0.16714538203249035	0.2727134288970201	0.09686132659689252	0.04782977216568961	0.07762834120783098	0.0
(-) CDIPT	0.1299068765504441	0.1695526278264641	0.0775527111458935	0.16125160105684327	0.06297012013838876	0.14914255911182964
(-) CDK14	0.08323736796358902	0.08150538388215227	0.15617398235949997	0.0	0.05606398314666419	0.0
(-) CDK20	0.03996282254944609	0.02520274043884907	0.0039000098694908464	0.005479940350532727	0.11203079827059087	0.19911383476846078
(-) CDKN2C	0.0311677077196313	0.042112999637376025	0.09861044285239852	0.26244663800180695	0.1308749515498528	0.0
(-) CELSR1	0.028178686781774476	0.0082197183309224	0.06881061735789053	0.025007529742341692	0.3660027194467465	0.17394633405603663
(-) CENPE	0.0	0.0038446381460461726	0.0	0.16343102875639184	0.0	0.0
(-) CENPF	0.0	0.0	0.0	0.17925860715752812	0.0	0.0
(-) CENPH	0.0714408411372351	0.0	0.010650737568598297	0.12965012403739493	0.0	0.0
(-) CENPQ	0.0040335870343612	0.011264265346987762	0.0	0.18694797120436066	0.0	0.0
(-) CEP104	0.018902117209090047	0.08372427590728627	0.15004205420142777	0.05900821310331401	0.040264077764573844	0.0
(-) CEP112	0.11853184105440842	0.20820517540148145	0.04802730812288874	0.0	0.11308007930761939	0.04038836144803616
(-) CEP152	0.0	0.0	0.0	0.19957419166494814	0.0	0.0
(-) CEP41	0.0	0.1275822603495986	0.14368288138963883	0.0	0.0813173159990199	0.03386205776042085
(-) CEP57L1	0.00550840130594711	0.10913247907383133	0.0	0.23710475599476882	0.0	0.0
(-) CERS6	0.14592552197422815	0.0	0.0	0.0	0.0	0.09291624685818904
(-) CHCHD2	0.0680167373273475	0.0	0.12662172810760516	0.0	0.01478250226529805	0.0
(-) CHFR	0.02612238202949302	0.033699947390094645	0.0	0.046140711289822035	0.5358353918307969	0.0
(-) CHID1	0.01672039615771302	0.12322394921094207	0.04677469040390554	0.0	0.0	0.05977890417303772
(-) CHMP4A	0.009891701821624401	0.0	0.0	0.06377261239188357	0.08445336013794413	0.0009982858662212696
(-) CHUK	0.029120435951339323	0.05198876193087212	0.0	0.1964407787150619	0.0	0.0
(-) CIC	0.021077975139517903	0.1291295504552032	0.0	0.0	0.07286357078615976	0.025309821653957967
(-) CIRBP	0.02660790081381005	0.15016537454490453	0.0	0.0	0.015851904022167847	0.008956614350388166
(-) CKAP2	0.01716099330631208	0.0	0.033636611686072904	0.1910317554494129	0.006805688369136771	0.0
(-) CKS1B	0.0	0.0	0.0	0.1656000638123898	0.0	0.0
(-) CLASP2	0.050064988570649595	0.015983602715807677	0.02053114664943408	0.0675914785325284	0.0	0.006099248888106588
(-) CLCC1	0.0	0.12008776460362734	0.013356960595515981	0.03322922671610768	0.0	0.002079624901506236
(-) CLCF1	0.0	0.17880073352268408	0.06017499612784439	0.0848160545879511	0.042930596668352444	0.011700251698160488
(-) CLCN4	0.04924161368276131	0.17640656218663808	0.009210204510641161	0.0	0.32898352279367993	0.02013314943316933
(-) CLDN12	0.09097689020704014	0.09855157939389547	0.045436505575803414	0.0	0.0	0.06964287760595464
(-) CLDN18	0.25900698133608824	0.2776723977488314	0.07974304107671955	0.204930975195261	0.22463583438654616	0.12114283587442133
(-) CLIP3	0.022574193855743593	0.23822292779118703	0.0	0.0	0.2032974689333672	0.1643187785245261
(-) CLMP	0.0	0.3610108144470225	0.2594777086280274	0.1671680790570393	0.0	0.09270806084643186
(-) CLN3	0.05383846414017865	0.07448273525105041	0.0	0.10475193384799977	0.006369788973929371	0.050151064554054846
(-) CLOCK	0.01256102385383377	0.12976618969316223	0.0035786138139304907	0.07954525402461227	0.0	0.0
(-) CLTC	0.06286734989315453	0.09054960501374748	0.011434508728465067	0.004019799839774785	0.0	0.0
(-) CMBL	0.0	0.08440371002508829	0.1819829716530864	0.0	0.13979581598039698	0.27804750536297324
(-) CMTM7	0.09253345686409521	0.15686197492263204	0.18175503921084452	0.07569582843853004	0.0	0.02458952239913777
(-) CNKSR3	0.09171396629334302	0.0336300068640382	0.009136927223034217	0.12968618394689435	0.29179822396961486	0.010968277628020858
(-) CNOT7	0.02358991751842567	0.004009958716812487	0.054294684879896894	0.058148536718057045	0.0	0.0
(-) CNRIP1	0.0	0.385555064579144	0.24227101025282444	0.008221527753890186	0.0	0.16793495366227892
(-) CNTLN	0.15825308050986037	0.1533306702422367	0.0	0.10732079067484787	0.05415157705165582	0.0188790572462553
(-) CNTNAP1	0.0	0.21066645092069175	0.005691246803236794	0.06078666155732613	0.030230329473728723	0.0478589950804646
(-) CNTROB	0.029395027551763497	0.00036325970140838786	0.0	0.10155589080303962	0.0	0.0039668784331945975
(-) COA3	0.15879024050033883	0.0	0.017419377526670433	0.06641127635863309	0.0	0.017228336531702467
(-) COG1	0.02037139598753451	0.1160233425945576	0.0	0.028176417804429085	0.0018300543407720412	0.10740557242457317
(-) COL12A1	0.0	0.13464636580894906	0.43967688418990813	0.11311358669018225	0.16602650093643279	0.08314440453535313
(-) COL18A1	0.06864945098018317	0.06923888487668017	0.031630660897247025	0.0	0.3754688076894603	0.0
(-) COL27A1	0.018065507794806986	0.03974320854070961	0.19917386630315542	0.0	0.0	0.25990817580058406
