	P0	P1	P2	P3	P4	P5	P6	P7
(-) ACTG1	0.016291898926508362	0.007848431175036728	0.044048769044900224	0.05134658641538726	0.006828944997355272	0.010125817119533465	0.0	0.04195021597850826
(-) ACTR3B	0.15808011286180595	0.014282827575398657	0.013338597327410611	0.0	0.0	0.028651137511356138	0.0	0.0017642502780820734
(-) ACTR6	0.022689564423199717	0.0	0.0	0.08197622954412598	0.08815687043802943	0.0	0.0	0.0
(-) ADAM32	0.21535674348206554	0.11345203098331517	0.06823267761757908	0.21191107939646703	0.12387504367652005	0.40737192406281053	0.037453280982200576	0.10191647354941186
(-) ADAMTS12	0.0770749580778211	0.2339596497843006	0.46603060215442815	0.06216431052773048	0.0	0.4782711199636944	0.19989697157149586	0.0
(-) ADAMTSL5	0.19680452538010854	0.0	0.15955781797255214	0.0	0.33495216929658916	0.04177250822459417	0.01466470984101551	0.0
(-) ADCY3	0.029383516450373178	0.004362389174082637	0.0	0.05314816787868375	6.619371610551243e-05	0.015884542288658616	0.07560712393450049	0.0
(-) ADORA2B	0.01575459162682777	0.0020479064742423155	0.0475128717635107	0.0831637007615521	0.014294488203726616	0.16297188016404546	0.0	0.0
(-) AFF3	0.2507863187831402	0.23494579403233634	0.07993117705523294	0.0	0.01860564213761787	0.053045848378975156	0.33795461651894226	0.13482589423194838
(-) AGAP9	0.11921720501321921	0.02592053338400467	0.07978961931667455	0.04304584162267819	0.029881839999968806	0.0	0.0	0.030798941843117166
(-) AGPAT2	0.0	0.0	0.0726575082607445	0.0	0.12276239421631589	0.0018731339512850563	0.0	0.0
(-) AHR	0.02616438611973716	0.054078825673607	0.3558325536193004	0.13896488688514588	0.06595195080715596	0.0	0.04426413994692406	0.02588235626512336
(-) AIDA	0.0	0.11373898894309815	0.1289907647834056	0.03316897067768362	0.0	0.014334872859832013	0.0	0.0
(-) ALCAM	0.0750375671950598	0.007683193124989905	0.003247447087001514	0.0	0.0	0.2531892076538602	0.052871516980340046	0.05153888196342679
(-) ALDH5A1	0.20973827603383338	0.0	0.0	0.0	0.35802890025466805	0.050360962728972496	0.20921018844001293	0.0
(-) ALG12	0.002818113298417238	0.0	0.03379796764397443	0.06282261098528638	0.03995458754439264	0.0	0.0	0.0033470377590192504
(-) ALG14	0.07308120960876008	0.023519131872300633	0.02381125748270427	0.1280917159795552	0.10365575764691487	0.0	0.0	0.0
(-) ALG9	0.04273694162475293	0.014503936200900756	0.01350494210058314	0.10281359416085252	0.006581720579442585	0.11454227022685581	0.0077055006886485936	0.0
(-) ALPK2	0.0	0.24969466332206475	0.0	0.009089522121812965	0.1590564595868026	0.4534898243259574	0.20536311472011493	0.13769541852937375
(-) AMPD2	0.0015331905621710725	0.14595631557265096	0.0	0.021869042432036634	0.0611416939642196	0.02533437029383691	0.015104853655286594	0.05308043887330386
(-) ANAPC4	0.00038666361437406083	0.0	0.0	0.09873728384795012	0.0	0.022595603498899358	0.008565745609771233	0.054986685162331836
(-) ANAPC7	0.0	0.0	0.03953415055647246	0.12339791019696558	0.0	0.019878591296066436	0.012310071120672514	0.0
(-) ANGPTL2	0.0	0.12103570161255392	0.011147842013061118	0.09050483417732545	0.003408201634285866	0.0	0.16574683028442727	0.267303242765943
(-) ANKEF1	0.034613255562229536	0.008286318430079315	0.35217758830416424	0.022598989792224453	0.3032624473084885	0.4241496381618633	0.2361155497296471	0.01711665147140078
(-) ANKIB1	0.015515282738854164	0.13411339941857728	0.14708073333881594	0.0	0.16080569319670923	0.0	0.029626146870843254	0.046025773660744215
(-) ANKLE2	0.0	0.0053874146746030385	0.00972652624156834	0.13281231135476518	0.0	0.11016487419816656	0.0	0.0
(-) ANKRD10	0.06475172366951376	0.0	0.0	0.0156427508703713	0.057749373660843574	0.0	0.0	0.0656698321272961
(-) ANXA6	0.0	0.15057285313069044	0.2849336590341992	0.0	0.0	0.0	0.023773754536156474	0.09125860356556548
(-) AP1B1	0.04765694169733059	0.002364410335632589	0.02169710172833008	0.06631453472368863	0.0	0.0	0.0	0.008166321862807423
(-) AP2M1	0.022981525741394334	0.0029634159376072306	0.07634826211984734	0.0	0.0	0.012566098963657494	0.023438756016898175	0.11455207006121566
(-) APBA2	0.13852410248365263	0.2562863744478149	0.0	0.0	0.38688034817799877	0.5226445425254701	0.28876011957837633	0.0
(-) APBB1	0.05589224494548005	0.16287494791080714	0.0	0.00036157699254608304	0.017933403249223278	4.937705060920509e-05	0.0	0.07651908667684607
(-) APLF	0.23700473492843105	0.044359180438462376	0.4068646306475227	0.0	0.06761561557399677	0.03273563907241147	0.043789983341825184	0.06003522505460735
(-) APOBEC3B	0.0	0.0	0.26133613486270246	0.13468329784446678	0.0	0.0	0.0	0.0
(-) APOBEC3D	0.14379225752089053	0.0	0.30450519899580164	0.23512649653427367	0.048336728015226586	0.0	0.0	0.0626862166844105
(-) APOBEC3G	0.062332972352194815	0.17794008592981841	0.20956774122863006	0.0	0.11568936434170803	0.03117014097288804	0.0	0.20427104630135515
(-) AR	0.2093745518738561	0.008063439910165253	0.18919341841091264	0.05687612266649553	0.35822932819384484	0.445944093319869	0.0	0.323790331770113
(-) ARAF	0.06281011237293291	0.019441646571840627	0.0	0.04272131565347255	0.0033876407252620817	0.0	0.0	0.0
(-) ARF1	0.040367371590359705	0.047073218704908194	0.13556228726645048	0.03903891522567296	0.02958825256333146	0.01298359213387681	0.0	0.0
(-) ARF4	0.0	0.09772576383400378	0.1268218069330677	0.0	0.006474569055018826	0.06258110513002298	0.0	0.08972763691644633
(-) ARFGAP1	0.0	0.12046056532110633	0.21809358255398692	0.0	0.02702839135131507	0.00039426684681415086	0.02852422377264071	0.0015509333126230644
(-) ARFGAP2	0.0008830542519725966	0.001472964377159765	0.0	0.019535023473501823	0.051140120782397464	0.03209656867907773	0.14364280606957103	0.0
(-) ARFGEF1	0.03934175479063606	0.0	0.020890260158310893	0.05796300210171891	0.04304109433256724	0.04321086486083913	0.003924344193252342	0.010839926121000295
(-) ARHGAP11A	0.0	0.0	0.0	0.18027431088521773	0.0	0.04090048466447305	0.0	0.0
(-) ARHGAP18	0.030997127617668725	0.060867794776632775	0.0	0.04357633122283606	0.0	0.004143624307873127	0.0	0.07721218406436062
(-) ARHGAP22	0.06110056896388782	0.0	0.49461297031168205	0.005068788947457816	0.0	0.09480203278570601	0.23445667351091232	0.12993676616137775
(-) ARHGAP23	0.0	0.003284241439672112	0.0719235226934379	0.004380041746200271	0.0	0.2892461529741319	0.08564147067614045	0.004045761401864538
(-) ARHGAP24	0.06744885227389666	0.001254980863079665	0.5591675816816348	0.03022749992004422	0.01621812882737451	0.0	0.09085604555961786	0.223758142575027
(-) ARHGAP35	0.0	0.008747090933941179	0.0030368930218905303	0.026563823066599237	0.07054389701622923	0.0717586109044688	0.0	0.11510475678485854
(-) ARHGEF1	0.030792429966203665	0.0	0.011750600293676125	0.050681513858587046	0.0009105291312607956	0.0	0.0032397320728423033	0.02421877693403301
(-) ARHGEF10	0.07200012927684808	0.11139658453376915	0.35194317186784696	0.0	0.10800766110541606	0.1727482726762748	0.018804284630747077	0.09522015447287101
(-) ARHGEF10L	0.017349731686007827	0.0016390245432525946	0.0	0.010618211042873797	0.0910098022527218	0.07790296061392328	0.20287269641683803	0.01864151916695093
(-) ARHGEF17	0.021729387704611823	0.03184466237166038	0.0	0.03601743374797293	0.245335865344025	0.0	0.04708329254616546	0.018619665635894657
(-) ARHGEF25	0.009943263599603167	0.09950421015066577	0.003581245958143675	0.07931998571143963	0.004559000043966542	0.021049347875419296	0.0	0.13021339275777352
(-) ARHGEF26	0.25114922826071207	0.0059670658984573395	0.0	0.10019870494812763	0.05411696466432914	0.0	0.013708261797932863	0.09300855220388361
(-) ARHGEF6	0.0	0.2271317268099595	0.0033703171907624656	0.0	0.023927496262329324	0.04330398676315864	0.0	0.24061476407773266
(-) ARL10	0.062004345549601075	0.05126300734694396	0.0	0.38913290355404434	0.4531580651181531	0.2779259998103387	0.039520859845326654	0.1909554948711841
(-) ARMC1	0.0	0.0	0.1339107008543659	0.06996371765733099	0.0	0.011489038785617313	0.0	0.0002185260684586379
(-) ARMC10	0.11301429133600144	0.04444120603250237	0.06189743324376699	0.0	0.0	0.0006660344194155459	0.0	0.0
(-) ARMC2	0.11790143728068052	0.0709009127861925	0.11678047050535188	0.12776833258713174	0.03290075308351999	0.07833992004843324	0.04120280921801878	0.022728090534473902
(-) ARMC7	0.09649778995276732	0.00016792476028692303	0.009417575537088966	0.07621211027917757	0.025327913782021563	0.0	0.0	0.0
(-) ARMC8	0.06264527962543369	0.0012819320232638155	0.0	0.07794786110190334	0.0173863826258266	0.0	0.0	0.0
(-) ARMCX1	0.0	0.2402821967440808	0.0	0.1388456903732148	0.0	0.0	0.14757682007518516	0.04307163942442727
(-) ARMCX2	0.22106928126271147	0.21516579685971604	0.0	0.052213078217453114	0.0	0.01556838099662469	0.05525885799320797	0.18055171826096775
(-) ARMCX4	0.11412296551177385	0.08860670569497531	0.042044061672949995	0.30874875767731513	0.06779791148533497	0.0	0.0	0.16966183690392406
(-) ARMCX5	0.0	0.007404414168591928	0.0	0.1786851936230079	0.0	0.0	0.0007420748150534541	0.0
(-) ARSD	0.03712161495422765	0.24535831658732607	0.0	0.0	0.15314672078300964	0.057997746425602244	0.08715929285601344	0.13943226812380008
(-) ASAH2	0.10897384685280555	0.0874945251876083	0.06118770360015896	0.1319541455678923	0.15299268344266054	0.4081049645163583	0.040908891452692324	0.04069198719709007
(-) ASB14	0.45967956282437183	0.055142396470891246	0.2718682670593595	0.17888171412887277	0.17173027186821763	0.20250427324417322	0.09049341878059515	0.20853834651078745
(-) ASB16	0.0988469126110675	0.0	0.05355602518229315	0.034411769458657905	0.00946119602894174	0.019966498242748987	0.012102127900450167	0.1412428255089126
(-) ASB9	0.2769073825733184	0.17230859057629663	0.06601326151783712	0.019241567955741633	0.13582276399229648	0.0	0.014158263977992112	0.0
(-) ASF1A	0.006411321447326307	0.0	0.0	0.10428291485151465	0.0	0.02964305138570353	0.01432180875802779	0.03133355752922771
(-) ASNA1	0.025936780345780626	0.016633112535561788	0.035284663022689844	0.044891573256498216	0.0	0.0	0.011407847342917023	0.01781696297851016
(-) ASPM	0.0	0.0	0.0	0.14628243219001832	0.0	0.02709026053646536	0.0	0.0
(-) ATAD1	0.13640484358839808	0.018962311891389288	0.0	0.03789443562772419	0.0	0.008027600092321422	0.0	0.0016835495055015027
(-) ATAD3A	0.0	0.005068047582090209	0.13388041982260823	0.08916599189539845	0.01946597240289932	0.0	0.00916384406318751	0.024891342271370548
(-) ATG5	0.0	0.0	0.0	0.11819185298388274	0.0	0.06357734275017769	0.003693368481951187	0.016783898473191214
(-) ATL1	0.3130027522826418	0.0	0.027013198164297952	0.0	0.11304693271115329	0.3429081834411213	0.009395397948028619	0.06383155754855632
(-) ATOH8	0.06409159497818138	0.06934678933140047	0.349835453572719	0.16703998703999628	0.023724519081850134	0.21370728962876384	0.13661760886599916	0.25940820293015265
(-) ATP6V1A	0.08830429218810786	0.0	0.07159968769636904	0.0018257739314929999	0.0	0.008246522900377633	0.025057220520588983	0.003066574453656895
(-) ATP6V1E1	0.032648158210092613	0.0	0.013906763188549281	0.03612179102675188	0.06094895508781863	0.0	0.0	0.03888436972544299
(-) ATP9B	0.04265994260666642	0.00473130115167925	0.022252676465832535	0.03331288948318678	0.09976388570465473	0.16476600194984256	0.0	0.09684009706095868
(-) ATRN	0.0	0.14285998004256567	0.030449016686614903	0.0	0.21393171784114354	0.11084502584486529	0.0	0.0
(-) ATXN1	0.0	0.12290251867401038	0.0	0.0	0.19037002359593028	0.10882215107584217	0.02914495821375364	0.10140040560538276
(-) ATXN10	0.023451090716998524	0.0021322045702538072	0.006527063746401429	0.06297136397212538	0.008929499502907697	0.0	0.0	0.022094248422966555
(-) ATXN2L	0.0	0.13874655225919097	0.0	0.09095513206925619	0.0	0.0	0.0	0.0
(-) ATXN7	0.04158775330704914	0.01077610772238438	0.018460569237854173	0.003207995720927227	0.0	0.038196260202503045	0.0	0.11246908963562208
(-) AUH	0.08873709397540423	0.0	0.006131408588553424	0.043243646407396044	0.0	0.023095086598904514	0.05379822837174021	0.0
(-) AUNIP	0.03394102522837114	0.0	0.0802892757159526	0.3033904380487391	0.007999279754224015	0.0	0.0	0.0
(-) AURKAIP1	0.0	0.0	0.16660543817958695	0.03826716906659724	0.006732890013369286	0.0	0.004991336966446408	0.0435797858787595
(-) AUTS2	0.12842905868667978	0.0	0.0	0.0	0.3650780549618739	0.35939898610600807	0.25404412541875226	0.18975337549978125
(-) AXL	0.0	0.16540303575041523	0.19471595888219548	0.0038725119980718647	0.0	0.22185188717708218	0.08240749180966757	0.0
(-) B3GALT6	0.0	0.09516787055193845	0.15446558760629994	0.008888525295126144	0.030927193836862307	0.021148732190496376	0.0	0.12270578954978713
(-) B3GNT5	0.4035915354912088	0.013341147176952183	0.02629855690469193	0.10313895591626497	0.008792963029473492	0.01981846634099646	0.0284229814443736	0.10903257013771908
(-) B3GNT9	0.0	0.029504129222117186	0.07173661975830631	0.04912724819816651	0.10158048087259904	0.3448294671055063	0.035906529853791475	0.19210569854424808
(-) B4GALT6	0.3107420037759231	0.013057221820955157	0.386054999697601	0.0	0.0	0.013601353350235722	0.3439675326286002	0.0
(-) BACE2	0.0099070490841543	0.00808981079691786	0.4383132416041998	0.0	0.0	0.0	0.19725656071279277	0.030833403115424214
(-) BAG2	0.060292902007040114	0.18767467153986797	0.0	0.13869858499540896	0.015265257077520994	0.005325983834343988	0.0	0.0
(-) BAG4	0.03948915930290431	0.0	0.06027090483082611	0.08141526730010336	0.009775246346048252	0.0	0.0	0.0029151547506309286
(-) BAIAP2	0.09774763352928136	0.0	0.0	0.09284973616532319	0.0	0.019218096526355286	0.027355790535280027	0.0
(-) BAIAP2L1	0.19769733068288134	0.0	0.3928042825423	0.0	0.07206853301404922	0.0	0.180110682226727	0.0
(-) BARD1	0.0	0.0	0.0	0.11601771965526386	0.0	0.0	0.0	0.0
(-) BASP1	0.027240721798962527	0.0	0.20691833706292673	0.19531578723673823	0.024499237998511274	0.3869318438034756	0.04586821237492335	0.0023713626684474286
(-) BAZ1A	0.0	0.0	0.0	0.15698026073305446	0.015080602716434669	0.009549152183028582	0.0	0.01881979644242311
(-) BAZ2A	0.0721672392119707	0.0	0.0	0.03315849411425312	0.0	0.0	0.0063089223879854	0.0
(-) BCAT1	0.0	0.16878834732602335	0.13330771557905624	0.12390379026088096	0.0	0.4062580456339608	0.0	0.03276536646853434
(-) BCDIN3D	0.19843419883103647	0.0	0.0	0.0	0.08706959823281465	0.021830993990252123	0.0	0.0
(-) BCHE	0.5114185000618813	0.25769059740336825	0.17200290391793538	0.0	0.0	0.0	0.0	0.14521780006532797
(-) BCL6	0.0	0.0163183124528238	0.18980412246501807	0.0	0.09608880927946112	0.0	0.0	0.0673764177192088
(-) BCLAF1	0.0	0.0	0.0	0.10840154831294974	0.009363740922118134	0.020991793758159585	0.0020112559309102243	0.0
(-) BDH2	0.06725702995558296	0.0	0.059259411435054844	0.0	0.018894494275086368	0.0	0.03224478490136201	0.0940242048487884
(-) BEND6	0.0	0.20881791973960426	0.19087022578882923	0.0068114150217889365	0.14261861987147323	0.2184142154123274	0.048294313499571445	0.18282790467428955
(-) BIN1	0.0	0.13863990744487154	0.09147087512104306	0.012976829599632438	0.08308999263840457	0.04934035743137975	0.10914575888421016	0.0
(-) BLMH	0.12695371791574597	0.0008701430584825144	0.0	0.018922365033468738	0.0476108100259665	0.06367986314479546	0.0	0.016371793926460522
(-) BNC2	0.1545693281972787	0.1054304956661034	0.21583759240530162	0.013794458647745592	0.0	0.01593863069091667	0.0	0.0727607424162857
(-) BNIP2	0.07036465769491167	0.0	0.0039006313293405747	0.07562907260938408	0.0	0.02610485535256063	0.002851220358952167	0.0018008573096216529
(-) BOLA1	0.10397195271779269	0.00200617446504408	0.0882417487897428	0.02136476007704812	0.07476183999179353	0.0	0.11767827781988956	0.0
(-) BRCA2	0.008568311269449368	0.0	0.010180300073700237	0.21640893250172144	0.0	0.014528306173913295	0.0034979177993312805	0.019282860364217898
(-) BRD7	0.09109044786052038	0.0	0.0	0.09265606400893946	0.0	0.23673945604408114	0.0	0.0
(-) BRD8	0.0	0.0	0.036721816124562816	0.10141362460924089	0.0	0.024345825741654087	0.013058926383234191	0.0005006242952489146
(-) BRF1	0.0	0.0	0.03364084991800187	0.052619837818407934	0.021194079437773114	0.0	0.04090888386359541	0.02953916588252153
(-) BRIP1	0.0	0.0	0.0	0.14548115937819206	0.0	0.0028112471217566497	0.0	0.028930873560567297
(-) BTG3	0.04335820731822288	0.0	0.0	0.06676234387108519	0.0	0.0	0.021157644360844937	0.03998252881401128
(-) BUB1	0.05818921694903659	0.009008195822952307	0.0	0.2516820921062051	0.0	0.0020748510853624614	0.005296471496170233	0.0
(-) BUB1B	0.0020329966227167623	0.0	0.0	0.18775741323178763	0.0	0.0034013965471288805	0.0	0.0
(-) BUD13	0.0	0.005201567641363922	0.0	0.12446693572989298	0.0035335184205735706	0.0446552220680544	0.0	0.07959499671197169
(-) C10orf76	0.054089111358780785	0.0	0.0	0.07392713637649657	0.04276232148472686	0.0	0.0	0.03374019798612373
(-) C11orf45	0.07246633389637916	0.0	0.29592926379678913	0.2719422205260731	0.029764251064621185	0.06501948013678514	0.1673621949126921	0.10815830449192801
(-) C11orf58	0.05679424006484588	0.0	0.10143438991909248	0.008382301630737122	0.0	0.0	0.0	0.0
(-) C11orf80	0.15222708288391934	0.00023213604910147053	0.02893929498462286	0.21910480270001936	0.05756314912636162	0.14885969066326546	0.0	0.0
(-) C14orf132	0.0	0.01121756889406714	0.16011348324332098	0.0	0.15218046608809305	0.026426154413197355	0.2798387407038239	0.1908125527815632
(-) C16orf58	0.009449832875725964	0.14748138964156557	0.048053327425707816	0.00979841001463963	0.01801671737228061	0.0	0.0	0.01069338823051339
(-) C18orf54	0.0	0.0	0.04971969714106876	0.20848864765057498	0.0	0.0	0.0	0.0
(-) C19orf24	0.05292751134735709	0.0970832299464474	0.036603054368407134	0.0335154043097216	0.0	0.0	0.011063100856253463	0.0
(-) C1QTNF1	0.12329335188289997	0.06048902156320274	0.0	0.0004756764208508223	0.23505423487256744	0.07674799866536415	0.005779831017307933	0.2038349000979317
(-) C1orf216	0.0	0.04543356370980399	0.08516860355545885	0.002092884210991715	0.06484160991549516	0.0	0.03011166080475322	0.06622340486478819
(-) C20orf194	0.002303101959596016	0.05147784486689473	0.0	0.004969887358032339	0.17763726142030653	0.01543807979626094	0.0	0.04917972432018633
(-) C21orf58	0.0	0.0	0.16284404535663863	0.037683010085143374	0.003961995378874885	0.03216330129300061	0.017022611920402733	0.06639963438250236
(-) C2CD2	0.0	0.029577503642243066	0.06773973213945113	0.0	0.0	0.38270907020959205	0.059114497824694766	0.002974810375850745
(-) C2orf42	0.10641775603051608	0.0057529669474550025	0.0	0.0022550462647786375	0.09493558527296402	0.0	0.0	0.058408702916471336
(-) C3orf14	0.28860544626376594	0.0	0.18079037758949199	0.013167340823461306	0.0	0.0	0.17429647306115129	0.0
(-) C3orf18	0.0	0.1745037274027388	0.0994061516014339	0.13556802099404716	0.0300679344928886	0.1493860750192835	0.0	0.09294203254398424
(-) C3orf52	0.034084547588653626	0.0	0.16199936638154142	0.29362372466773773	0.0	0.037137402900720456	0.040927100003462974	0.0
(-) C5	0.13030714734764015	0.08974937122996804	0.13242940918190718	0.0	0.19482359102704003	0.07079256273376151	0.028375767067826744	0.14366166392214508
(-) C7orf61	0.3528923142778594	0.08719424102302917	0.1355032409832337	0.1155011656133988	0.04291985156612267	0.07345346930149482	0.07877213162917389	0.0597128287030405
(-) C9orf72	0.1319150089347328	0.0	0.004384631507882805	0.11790919198106542	0.03278613463538372	0.07235265831819153	0.06839398078011283	0.2947911873849701
(-) CAAP1	0.14533934613045427	0.0	0.0259818948157347	0.0435195105654873	0.05520864893077475	0.0	0.06355641124995999	0.2405169462610693
(-) CACNA2D1	0.34598236283362643	0.08917080558046657	0.021377987041879667	0.058853140411021104	0.05781133634060545	0.4795430050256172	0.004798140064482535	0.1575061477778293
(-) CAMK1	0.05195696558012716	0.08876287766712804	0.0	0.029435867210741325	0.03424447806130475	0.16547825260827337	0.08942582355346121	0.18653635818176428
(-) CAMK1D	0.17698419226946574	0.007870062784295586	0.042000483972944036	0.013892938950037306	0.13391186177605421	0.5360448136667356	0.15886968227423393	0.16005225001219392
(-) CAMK4	0.15309522296903505	0.062372832637870905	0.531543781416745	0.009855433270392403	0.0	0.0	0.013685922780920142	0.005035994494655484
(-) CAP2	0.04390457351578424	0.08230389029901243	0.1489389801835941	0.0	0.12594201145542105	0.0	0.005310282257128442	0.0
(-) CAPN1	0.016794535336303228	0.0	0.07884873781206406	0.03411347961813197	0.0	0.018812112735382826	0.0020101761862582447	0.04992043859031938
(-) CAPN10	0.06289662167552411	0.019974480637575544	0.0017662430481360674	0.009623782511206228	0.0	0.0	0.003948099041024431	0.0017850622767358378
(-) CAPN2	0.0	0.0074684726896682525	0.14543077894658868	0.019145931431211752	0.0	0.08409960653455924	0.03330679524516711	0.0
(-) CASP2	0.013191915420361853	0.0	0.07435735309396739	0.0	0.128306971713417	0.006739621402930145	0.01476832521215247	0.017288633163704128
(-) CASP4	0.02014870690041496	0.0	0.10177250225315178	0.010032777253156183	0.0	0.022263999719755494	0.0	0.08015245720198347
(-) CAV2	0.15635754890402215	0.0	0.32885047761231173	0.0	0.07231682717270631	0.10966062165241347	0.04052638410647385	0.004209957134855755
(-) CBR1	0.0	0.0	0.251807503324328	0.009377792682879983	0.0	0.0065668779721072094	0.03873720793977704	0.033460244637832905
(-) CCDC106	0.02277687237581759	0.0	0.0	0.0484479105024278	0.07171391497199373	0.0	0.0	0.16011820802618082
(-) CCDC113	0.1570666329669873	0.020453785307841477	0.19225171096919483	0.0	0.17049506701394235	0.2250850768433615	0.1867653583279153	0.04349531893397692
(-) CCDC12	0.03868549927104481	0.0038124455026975783	0.0	0.09823103709209156	0.0052744430952218506	0.0	0.0026911270258517606	0.009335441713018557
(-) CCDC122	0.25592371319952334	0.01826432700318226	0.2824524000683851	0.11015867680421003	0.3248202632203612	0.0	0.1113243366848089	0.006676647273424397
(-) CCDC125	0.14947357214993232	0.0	0.0	0.07036495144758845	0.06631940290464607	0.03499847558490956	0.0	0.0
(-) CCDC149	0.0	0.0	0.0	0.0	0.17550726899632874	0.11071002281070197	0.03844360556360678	0.20616383189107973
(-) CCDC150	0.03673397865616209	0.0	0.0763365824624093	0.18705943371954398	0.0	0.020822264179982355	0.014281227793045413	0.02430861689960536
(-) CCDC169	0.26517796510226244	0.22618244294956838	0.030946811666165426	0.15517772092782456	0.03067568343804479	0.11696549906501708	0.005720864026998914	0.26546258367150144
(-) CCDC171	0.3459954199490388	0.032361404360648875	0.17738661606693526	0.1485174601792719	0.09369195289903978	0.04803474926026352	0.053536391165772045	0.1579192852085508
(-) CCDC174	0.07459667724806775	0.001975434127694169	0.0	0.014232187987977464	0.035900719416802056	0.01776276265136996	0.008821968702315998	0.001575616311029599
(-) CCDC39	0.3429636298460339	0.014625462078168207	0.19042810128042453	0.07306276250058784	0.04569348535719733	0.05462361582937958	0.07696273610615681	0.09497749835892798
(-) CCDC43	0.06055575127535066	0.0	0.00380099615862369	0.07579320562120329	0.0	0.0	0.0	0.07729688804414075
(-) CCDC71L	0.338621510901244	0.02391346994880403	0.01428274736508242	0.15425713444658945	0.0	0.0	0.0	0.0
(-) CCDC74A	0.13181148306852616	0.2722129895800587	0.036081563577738916	0.015915695183681192	0.0	0.39999303314535	0.046720480836326	0.011409592379414076
(-) CCDC88A	0.0	0.14963189544255628	0.0	0.0549653506973604	0.0	0.010161715452924958	0.0	0.08017093734418348
(-) CCDC91	0.02416427232425588	0.0	0.026363611280837144	0.11583718048232239	0.0	0.0	0.01862752621606154	0.0
(-) CCDC92	0.0	0.07388197299544426	0.0	0.0	0.11578480550722524	0.22349125854231322	0.0007233185595203794	0.01359606381199624
(-) CCNA2	0.0	0.0	0.0	0.16373666325261083	0.0	0.010277653157640444	0.0	0.0
(-) CCNB2	0.005031760730047942	0.0	0.0	0.12466023750815589	0.0	0.009963981005724556	0.0	0.0
(-) CCNC	0.0	0.0	0.0	0.11338869580995611	0.0	0.02072831833930605	0.0	0.0
(-) CCNF	0.0	0.0	0.0	0.1712630715287605	0.0950634729312586	0.0	0.0	0.0
(-) CCNJL	0.0843444568214167	0.0012299762210410488	0.0	0.0	0.47861523504567743	0.0	0.0	0.0
(-) CCNO	0.16394420315383676	0.0	0.018367558386232267	0.010579216244140006	0.2454394231280279	0.0	0.08106418146308682	0.0
(-) CCNT1	0.07152938782354767	0.0	0.0	0.10617202917933732	0.014262949799931555	0.012743272097832612	0.010914602488209293	0.0
(-) CCNT2	0.013870489549407335	0.0	0.0	0.06802135990594613	0.0	0.009663404124233728	0.0	0.03810749976615683
(-) CCSER2	0.03731624410256448	0.1415594865217682	9.996132329978506e-05	0.0	0.0	0.06306357325175312	0.0	0.034006307049300855
(-) CCZ1	0.0230454096786795	0.04638548148942658	0.17156373725684343	0.0	0.11479940905680287	0.021451507658365447	0.009025882852827776	0.005125652024869977
(-) CDC14B	0.035045825651298386	0.024549179993471882	0.0	0.0	0.18717897536718356	0.011287506696431897	0.003686700653014965	0.021196601074619317
(-) CDC34	0.024283495567345464	0.139881713555549	0.0	0.0457073637340111	0.0	0.10300695576614104	0.0	0.0
(-) CDC40	0.0	0.0	0.0	0.1442059610987656	0.0	0.020018471829632203	0.0	0.013166963098199511
(-) CDC42EP1	0.0	0.012742212638361413	0.11295027551891496	0.014472240829377368	0.0	0.3683893715413845	0.08833692646752692	0.010270372075116063
