	P0	P1
(-) AUTS2	0.2631455821873667	0.23560186373301395
(-) AXL	0.04840142816420942	0.1811011339785644
(-) B3GALT6	0.03628580880561086	0.19807186712264205
(-) B3GNT5	0.33264600887971657	0.04592313331002588
(-) B3GNT9	0.10654494972415897	0.2512667466228979
(-) B4GALT6	0.32595966659895714	0.04198647052452032
(-) BACE2	0.13810677796816984	0.09292531649307094
(-) BAG2	0.11243479979023488	0.10662833707130236
(-) BAG4	0.09924642522850305	0.0
(-) BAIAP2	0.12059556816128628	0.0
(-) BAIAP2L1	0.2867560274816357	0.004367386125676201
(-) BARD1	0.0707829214084775	0.0
(-) BASP1	0.2871791454175077	0.022044730916697126
(-) BAZ1A	0.1142662679198933	0.0
(-) BAZ2A	0.06018872148810583	0.0
(-) BCAT1	0.11634646845811723	0.2326029503851904
(-) BCDIN3D	0.134646890145661	0.0
(-) BCHE	0.25432790304813724	0.3171727341224511
(-) BCL6	0.05020649204420232	0.11275291872092176
(-) BCLAF1	0.07651133603250587	0.0
(-) BDH2	0.06347729012326962	0.08264288545483796
(-) BEND6	0.045507843416587146	0.4252956301823181
(-) BIN1	0.05645484312664658	0.14031255246479915
(-) BLMH	0.10471358447780807	0.01145272136184903
(-) BNC2	0.11206868678288902	0.16987076904759962
(-) BNIP2	0.09401144832305994	0.0
(-) BOLA1	0.1524026683638438	0.0
(-) BRCA2	0.16604702793117984	0.0
(-) BRD7	0.13658711599630202	0.0
(-) BRD8	0.08005086838223387	0.0
(-) BRF1	0.05792883051440612	0.02498666810924457
(-) BRIP1	0.08669736924718024	0.0030426767358731365
(-) BTG3	0.0787993274896368	0.008136613767789309
(-) BUB1	0.20691172099177763	0.0
(-) BUB1B	0.12514518534290567	0.0
(-) BUD13	0.07905349807874766	0.06927236954469952
(-) C10orf76	0.0995300526520236	0.006752651175257092
(-) C11orf45	0.3885415756146305	0.06680188773881492
(-) C11orf58	0.06175399145615069	0.0
(-) C11orf80	0.2912359115236485	0.0
(-) C14orf132	0.12040412344733553	0.25286606106361004
(-) C16orf58	0.0	0.14068473091736977
(-) C18orf54	0.14905590414493325	0.0
(-) C19orf24	0.05280568116091799	0.06347767121002951
(-) C1QTNF1	0.12872124568106413	0.24641848736033742
(-) C1orf216	0.03193174853488709	0.11433424922213294
(-) C20orf194	0.04829693057576481	0.10202142443845068
(-) C21orf58	0.07679218594824377	0.0624051731366493
(-) C2CD2	0.0544879212152839	0.09575720411544132
(-) C2orf42	0.08522929156743181	0.0550886937714511
(-) C3orf14	0.2577984944752474	0.0
(-) C3orf18	0.10885637402384289	0.2402460565190866
(-) C3orf52	0.2893730250517322	0.0
(-) C5	0.1416407832560202	0.24382012336545292
(-) C7orf61	0.34414712657964414	0.11355204620937719
(-) C9orf72	0.20261342427438983	0.2131931759781017
(-) CAAP1	0.16257576853408356	0.1640751393723912
(-) CACNA2D1	0.30070585424122365	0.24019096959873026
(-) CAMK1	0.07661422519267555	0.24538595458060763
(-) CAMK1D	0.2324353471559937	0.24875851448433148
(-) CAMK4	0.21989738661353717	0.08337278698092665
(-) CAP2	0.07286584254667103	0.09901594878736922
(-) CAPN1	0.058864510389879734	0.031884276477801135
(-) CAPN10	0.03963064114490467	0.012095493549292933
(-) CAPN2	0.0527453127790247	0.03317351435122807
(-) CASP2	0.059649663144436774	0.04074689068046964
(-) CASP4	0.05009582512520825	0.059224526726170734
(-) CAV2	0.21927473077838178	0.03527291308901795
(-) CBR1	0.08220009665495805	0.03965087872859604
(-) CCDC106	0.06531643625956823	0.12289856328538708
(-) CCDC113	0.21496523152148111	0.14943932556116868
(-) CCDC12	0.09279840387178846	0.0
(-) CCDC122	0.4180957012334256	0.05076286595127038
(-) CCDC125	0.15292559820142154	0.0
(-) CCDC149	0.033100116199637666	0.2328243176510062
(-) CCDC150	0.182891869017786	0.0
(-) CCDC169	0.25405069506452516	0.38599772719897685
(-) CCDC171	0.3927977100568115	0.14265225697159797
(-) CCDC174	0.07123370527027476	0.0
(-) CCDC39	0.34087995737596033	0.07497550835207745
(-) CCDC43	0.09085808867253288	0.032406292574204375
(-) CCDC71L	0.2852134665777153	0.0
(-) CCDC74A	0.09042491117212281	0.29624893002172736
(-) CCDC88A	0.0	0.19426906669328214
(-) CCDC91	0.1023999022342431	0.0
(-) CCDC92	0.012376386568512285	0.13525279394421003
(-) CCNA2	0.10550078407755405	0.0
(-) CCNB2	0.08492242487364045	0.0
(-) CCNC	0.07038818741725524	0.0
(-) CCNF	0.1398834431802974	0.0
(-) CCNJL	0.18004925388822618	0.025847901771394857
(-) CCNO	0.1945904920678932	0.013868958818471623
(-) CCNT1	0.12293517425347245	0.0
(-) CCNT2	0.056270470447896986	0.010841486801650436
(-) CCSER2	0.0	0.14950939628065005
(-) CCZ1	0.07455993797468426	0.078287453423146
(-) CDC14B	0.048520065170230255	0.07398083030535639
(-) CDC34	0.03419537652716564	0.11072780858162318
(-) CDC40	0.09702794023078981	0.0
(-) CDC42EP1	0.08198842065289827	0.09339888218812675
(-) CDC42EP3	0.06442537881024535	0.0863885406938208
(-) CDCA2	0.08186202444446374	0.0
(-) CDCA7L	0.08007331994751718	0.021118191339909574
(-) CDH11	0.1283573213335545	0.5444738949393393
(-) CDH13	0.12765966854201619	0.28692130010674644
(-) CDIPT	0.2465077400950688	0.1792246918627508
(-) CDK14	0.0810982607416305	0.12266466606785428
(-) CDK20	0.11527310922243657	0.07229779340118453
(-) CDKN2C	0.2784889342864187	0.01670053468594411
(-) CELSR1	0.20941085673061077	0.11186730648263157
(-) CENPE	0.09856734671013125	0.0
(-) CENPF	0.10566353982392537	0.0
(-) CENPH	0.12151663915828743	0.0
(-) CENPQ	0.11655125765093384	0.0
(-) CEP104	0.09813761765151174	0.08905469696229988
(-) CEP112	0.08583646829247214	0.23243979645739135
(-) CEP152	0.11090161703631164	0.0
(-) CEP41	0.04919764682723356	0.16205702954641163
(-) CEP57L1	0.14553891846053416	0.06569157413248855
(-) CERS6	0.11326584331235613	0.0
(-) CHCHD2	0.07482450869085953	0.009855415213802019
(-) CHFR	0.21385850453417912	0.09337530753705799
(-) CHID1	0.016985725739171634	0.12423049419156483
(-) CHMP4A	0.07912174602229768	0.002939162473239956
(-) CHUK	0.13979078596143413	0.009421697613544257
(-) CIC	0.01213831312900436	0.14018042074951237
(-) CIRBP	0.0	0.13978289288850868
(-) CKAP2	0.14647739864634196	0.0
(-) CKS1B	0.09592090668915303	0.0
(-) CLASP2	0.08208210806708542	0.0
(-) CLCC1	0.0052829649357403145	0.10565773548519435
(-) CLCF1	0.046257998503141634	0.18585591595657902
(-) CLCN4	0.10023569800059506	0.23545762242081886
(-) CLDN12	0.06411049655392341	0.09982924313685068
(-) CLDN18	0.38576374300322197	0.2854664882797724
(-) CLIP3	0.06618740279894762	0.2868704881013235
(-) CLMP	0.12149410050526138	0.3837049666559739
(-) CLN3	0.1124407850064481	0.05991492143578772
(-) CLOCK	0.037858618153641416	0.10838571427583026
(-) CLTC	0.025059238685476045	0.08238565243039893
(-) CMBL	0.11741829014529258	0.1966449560652958
(-) CMTM7	0.13603009572021307	0.14724630863600213
(-) CNKSR3	0.24357190598052977	0.05448494057498649
(-) CNOT7	0.06342003449453615	0.003070135344003374
(-) CNRIP1	0.01013630932937224	0.4294385361651422
(-) CNTLN	0.16314816512628502	0.1318655736600584
(-) CNTNAP1	0.027564756370016683	0.20189697222046862
(-) CNTROB	0.08290378686532932	0.0
(-) COA3	0.14631124319852537	0.0
(-) COG1	0.04134451016035442	0.11926234496904786
(-) COL12A1	0.23114561877326276	0.22985227851676254
(-) COL18A1	0.12228115364681102	0.1429609868073336
(-) COL27A1	0.11366330452599199	0.11305824095613123
(-) COL4A2	0.022362969799771825	0.2329229040247206
(-) COL4A5	0.1920378788784539	0.08613407574058149
(-) COL5A1	0.05036005875398903	0.2607897932753925
(-) COL5A2	0.024982653277037924	0.1705813579739923
(-) COL6A1	0.0220456382399166	0.3036888088496485
(-) COL6A2	0.0	0.3067938631924497
(-) COMMD7	0.030371228665877072	0.1363532721553905
(-) COMMD9	0.075269192452106	0.00200472628255684
(-) COPS7A	0.07956354411087617	0.005245880421629358
(-) COQ7	0.08739197873260932	0.0
(-) COX19	0.08845381018759078	0.05013590146080222
(-) CPED1	0.2228571098785858	0.3566609496824208
(-) CPPED1	0.2742315291523605	0.0
(-) CPQ	0.0	0.267061038594837
(-) CPS1	0.12978754562787892	0.17962270776688002
(-) CPT1C	0.18581915173133765	0.29645968545359375
(-) CRBN	0.06816371517252608	0.0
(-) CREB3L2	0.0	0.2253112100546483
(-) CREBBP	0.07039272369689323	0.07818642263986131
(-) CRTAP	0.0039067311836518855	0.21545596599285233
(-) CRYBG3	0.051651475387375835	0.040308636488990884
(-) CS	0.11782959103814276	0.0
(-) CSF1	0.03749070536020771	0.2756828551513553
(-) CSPP1	0.10388266431104341	0.0
(-) CTCF	0.09159552770074571	0.0
(-) CTDSP2	0.019104871382551597	0.07875650365491002
(-) CTNNBL1	0.19439021348695404	0.03250304506444795
(-) CTSF	0.3006342526600805	0.15304375454540492
(-) CUL5	0.08487314290960468	0.0125626007352633
(-) CWC22	0.10460850870864782	0.0
(-) CWF19L1	0.09720569692985287	0.0
(-) CXXC5	0.04646268758743533	0.261263568493306
(-) CXorf57	0.1811365409924438	0.09509447345305622
(-) CYB561	0.14131740055460962	0.06145953849427024
(-) CYB5A	0.16101824468473955	0.00729897795540073
(-) CYLD	0.18737691657161218	0.20442827678412284
(-) CYP2R1	0.2758039931463552	0.024660823418840457
(-) CYP4V2	0.1153096698542989	0.10403387615697003
(-) CYP51A1	0.09286154429407738	0.0771543959240831
(-) CYTH2	0.059353502672433105	0.038923525326878324
(-) DCP1B	0.0	0.2375406683919496
(-) DCUN1D3	0.0412084763581731	0.07314583246645426
(-) DDO	0.11639536567465716	0.27466996682719813
(-) DDR2	0.0	0.31389382175147845
(-) DDRGK1	0.09027848126318117	0.008701160357826478
(-) DDX39B	0.3758161421489594	0.17024202274973516
(-) DDX6	0.07999681017194438	0.04974694952214759
(-) DECR2	0.043203931796648797	0.09284165541838658
(-) DEK	0.09455542348724819	0.0
(-) DENND1B	0.14880514871635941	0.028486724699393697
(-) DENND2A	0.21571563634354354	0.26013835484360376
(-) DENND5A	0.0	0.15628878438567906
(-) DENND6B	0.23763941231449723	0.21857255511629503
(-) DEPDC1	0.10605388532983026	0.0
(-) DERL2	0.06555987121462019	0.0
(-) DGAT2	0.2554990649063047	0.051828821032237724
(-) DGCR6	0.20104004303928352	0.006525939948330484
(-) DHCR24	0.09792075153849551	0.0
(-) DHCR7	0.11697966633247768	0.0
(-) DHRSX	0.10538921032648875	0.02107897338249014
(-) DHX15	0.07241129028484532	0.0
(-) DHX38	0.054719528865714046	0.0
(-) DHX57	0.1402367124249517	0.0
(-) DHX58	0.04214185577051848	0.2685969706735024
(-) DIAPH2	0.20807914558523746	0.0
(-) DIP2A	0.06144274914882532	0.0386234297144208
(-) DIP2C	0.018306301566294054	0.2278345911367811
(-) DKK3	0.052586044149493805	0.18784426103613022
(-) DLC1	0.15359038481845327	0.05682241051057274
(-) DLG4	0.0	0.2420927986242148
(-) DMXL2	0.0	0.2110894256226761
(-) DNAJA1	0.08396453229334094	0.0
(-) DNAJB5	0.0	0.19666295261920488
(-) DNAJB6	0.041409309660620106	0.11658224634860385
(-) DNAJC15	0.14896675325668468	0.19711143706694542
(-) DNAJC22	0.023418720507436895	0.1408628852962305
(-) DNAJC6	0.3289717211188667	0.055876344689596305
(-) DNASE1L2	0.23345127763679122	0.02551787291107742
(-) DNM1	0.1373468121645587	0.2900731847394872
(-) DNTTIP2	0.08889687974323648	0.0
(-) DOCK10	0.0	0.4284097980061767
(-) DOCK5	0.41521035540628387	0.0
(-) DOCK7	0.0	0.13571883446482697
(-) DPP7	0.059242247247439504	0.028163356876927635
(-) DPY19L2	0.18622302259705445	0.2679545504637845
(-) DTL	0.10624459936211333	0.0
(-) DTNB	0.1407084729249562	0.0
(-) DTWD2	0.16182925320219219	0.04715348185199958
(-) DTX3	0.07624228479488857	0.06445755750697318
(-) DUS4L	0.09683716799088488	0.0860524930565916
(-) DYM	0.08262309317385133	0.0479333962263401
(-) DYNLL1	0.09195348938363401	0.0
(-) DYNLRB1	0.07209773594873212	0.06926747877533859
(-) DYRK3	0.025215644934799965	0.2363490865306453
(-) DZIP1	0.0	0.195182266407951
(-) DZIP1L	0.0	0.20894010810287564
(-) EARS2	0.0970768279645494	0.003864522817230544
(-) EBF1	0.15872943591119656	0.48253174066550075
(-) ECHDC1	0.047560625012834944	0.0
(-) EDC4	0.07318480479259469	0.0
(-) EDIL3	0.08411104346695497	0.38290518935886414
(-) EED	0.09425966308466507	0.0
(-) EEF1B2	0.05340388652706537	0.0
(-) EEF2K	0.07151967350500857	0.03095027807137247
(-) EFEMP2	0.09843757645056099	0.3495608843944088
(-) EFNA5	0.2689001729854813	0.029201500210364863
(-) EHD2	0.0807937894196669	0.08446280862157565
(-) EIF2B4	0.09485465796565322	0.0057638332430938076
(-) EIF3C	0.0855080097130467	0.005323764474459368
(-) EIF3CL	0.090638397169733	0.0026473593368158506
(-) EIF4A1	0.08407263603668977	0.0
(-) EIF4G3	0.0039757255867752745	0.17396707160032535
(-) EIF5A2	0.14590410381701038	0.020412944280598703
(-) ELF4	0.08022131650658249	0.0
(-) ELOVL4	0.23165272888721675	0.0
(-) EMC10	0.1743551826363663	0.03135948631459692
(-) EML2	0.23214496559988718	0.0
(-) EMP3	0.007435433914309411	0.12539112235123784
(-) ENDOD1	0.10081399590027643	0.03834596068028704
(-) ENG	0.10726403644724393	0.18130690579983452
(-) ENKD1	0.09145869256086893	0.061348401101922016
(-) ENO4	0.43875299579393384	0.08785041303013905
(-) ENOPH1	0.10920357406832747	0.0
(-) ENOX2	0.1135780994188579	0.021852825287758476
(-) ENPP1	0.04211168189152376	0.34039971875849295
(-) EOGT	0.05318195318665116	0.08998588012127502
(-) ERP29	0.06104445988860753	0.04054516668974822
(-) ESR1	0.6339912956752671	0.07473087824708036
(-) ETS1	0.004389975375533893	0.1340016123675007
(-) EVI5	0.07945151184081711	0.03329728118627836
(-) EVI5L	0.004770382495265121	0.1972151388668359
(-) EXO1	0.09639801307531405	0.0
(-) EXO5	0.2984670640294142	0.0034407420041890047
(-) EXOC7	0.010357345835736784	0.16469950038993864
(-) EXT1	0.2702003938335046	0.030921791790315005
(-) FAF1	0.2678732482158344	0.0
(-) FAHD2B	0.3779014667115722	0.0
(-) FAIM	0.08298271675366473	0.0
(-) FAM104A	0.07946629871260269	0.026771218005440304
(-) FAM107B	0.08437743274504732	0.06618202183535013
(-) FAM114A1	0.01896765038398037	0.17571624300592598
(-) FAM129A	0.09610100798916331	0.12273817694975825
(-) FAM13A	0.11043132396100355	0.06125141974350616
(-) FAM151B	0.27518891443380883	0.07031036372569086
(-) FAM171A1	0.005229366245242435	0.28491065759996526
(-) FAM196B	0.136688683894344	0.4014166254870591
(-) FAM199X	0.12886001635683697	0.0
(-) FAM227A	0.3133070619292295	0.17913176351356944
(-) FAM83D	0.0778600679012839	0.0
(-) FAM83G	0.34715201437746657	0.0
(-) FAM89A	0.2757369362710852	0.04110298265842608
(-) FANCB	0.15746012108234836	0.0
(-) FANCD2	0.10972979380201871	0.0
(-) FANCI	0.26742947965358416	0.0
(-) FBLIM1	0.3141733537243199	0.12781710031166876
(-) FBRS	0.011974308193989211	0.14618441073486257
(-) FBXL2	0.21796873873254757	0.0
(-) FBXL7	0.017613788983343242	0.31035575680835653
(-) FBXO11	0.05906583177837916	0.0
(-) FBXO17	0.043714647047992695	0.18818349986499996
(-) FBXO25	0.09467820721039145	0.001445115346143816
(-) FBXO27	0.46152039327748906	0.0
(-) FBXO36	0.13937414883039534	0.11576582079680962
(-) FBXO38	0.022780449975575837	0.12310086204069536
(-) FBXO44	0.26711672601837316	0.13012590540622943
(-) FBXO5	0.15193175220319965	0.0
(-) FBXO6	0.22546613411860386	0.014912696252000108
(-) FBXO9	0.05770842054137421	0.04585675468908085
(-) FBXW4	0.0763171735696104	0.024056049685348645
(-) FCGRT	0.24445075202367725	0.10488944039819843
(-) FCHSD1	0.08287185515462468	0.04493231552876611
(-) FCHSD2	0.05299774408913688	0.11163566113121855
(-) FDX1	0.08450776711170757	0.0
(-) FGD1	0.065760748401718	0.0961201950243286
(-) FHL2	0.17605250663176877	0.0
(-) FHOD3	0.3095255254538569	0.10991658226064928
(-) FIS1	0.15532398615822468	0.1524405397013883
(-) FKRP	0.052029334804873026	0.08808134672305709
(-) FLI1	0.36461061525241606	0.18491826662731706
(-) FMN2	0.14569634218144564	0.4233991292888029
(-) FMNL3	0.05377640009662987	0.22965525265831951
(-) FNDC3B	0.013941644125638336	0.1967571136467678
(-) FNTB	0.11613822865593564	0.0
(-) FOCAD	0.3500563136774668	0.13809735098478435
(-) FOXJ3	0.036095311779948944	0.12703014376131494
(-) FOXP1	0.1753654900829444	0.13164089764057113
(-) FOXRED2	0.08390698390006911	0.0
(-) FRA10AC1	0.373031179686462	0.025920328955724426
(-) FRAT1	0.32529426038297465	0.0
(-) FUBP3	0.04578929258715602	0.002167858920125132
(-) FUCA2	0.10177926113797106	0.029193120719453552
(-) FUS	0.05139472249851631	0.06467823369530844
(-) FXYD5	0.1559510058910175	0.04485358478549126
(-) FYCO1	0.06708319291400695	0.0044456099431518376
(-) FZD3	0.30814569434827893	0.0
(-) FZD6	0.18161070531650156	0.0
(-) GABARAPL2	0.09796015077712336	0.0
(-) GALC	0.39523361183203803	0.3351372158040098
(-) GALM	0.3255913515773326	0.017092154047623754
(-) GALNS	0.06413364357235292	0.06259646950498636
(-) GALNT10	0.08629549776510934	0.10410813526123373
(-) GALT	0.09063664949611329	0.0
(-) GAMT	0.0	0.21411178951261434
(-) GAPDH	0.09230282190943208	0.0
(-) GARNL3	0.32048428977072874	0.10737996448124693
(-) GATA6	0.3147414896085561	0.08186606602749691
(-) GBP2	0.06256268527798592	0.3054864951057838
(-) GCA	0.17633660226965908	0.0
(-) GCAT	0.05582310712249623	0.06141941673000874
(-) GCC2	0.08788400650060023	0.0
(-) GDE1	0.09180358269231559	0.0
(-) GEMIN8	0.12465926082680268	0.014029510525010159
(-) GEN1	0.08809859626299038	0.007361676867682317
(-) GFM1	0.055107196380823606	0.0
(-) GHDC	0.0668897427725361	0.022467828947238616
(-) GIGYF1	0.02454983819878541	0.09879736149791138
(-) GKAP1	0.2722460805852265	0.0
(-) GLB1L	0.08699587010946988	0.08994266898888982
(-) GLG1	0.044915941059282385	0.13694837901826684
(-) GLI2	0.1655201385148201	0.25973542860777343
(-) GLI3	0.0	0.19065540979877793
(-) GLIPR2	0.048486120630010544	0.3578468457160452
(-) GLUL	0.13653363764753268	0.03226293193115001
(-) GM2A	0.13147663185779693	0.005583017226936898
(-) GMPR	0.21438592455501249	0.4398369486466119
(-) GMPR2	0.06811179447677491	0.0
(-) GNA12	0.0	0.20448463654771384
(-) GNAI1	0.11568706932755173	0.14049208926911588
(-) GNB1	0.005891322683687253	0.10822160979778984
(-) GNB3	0.1027019200419259	0.3963468694717613
(-) GNB4	0.0	0.2271423898832366
(-) GNE	0.0	0.15235948789908924
(-) GNG2	0.12810761626259942	0.4719552453515332
(-) GNG5	0.08556786214354291	0.0
(-) GOLGA1	0.06011796975457956	0.024326281824833956
(-) GOLGA4	0.08849402774822472	0.0
(-) GOLGA8N	0.144058543887824	0.2721445164767856
(-) GOLGA8Q	0.24777123298581336	0.34807518574150675
(-) GOLGA8R	0.18137281559007973	0.30954196633432857
(-) GOLPH3L	0.08940367289673952	0.0
(-) GORASP1	0.032663875580162066	0.11246716838664159
(-) GPAT2	0.6343506728405176	0.14701094124529737
(-) GPC6	0.11340223132701638	0.48405694436831925
(-) GPHN	0.12929330897625343	0.0
(-) GPR137B	0.1533638406488918	0.0
(-) GPR153	0.1267832686010152	0.056111043997172136
(-) GPR157	0.1757856775192414	0.0
(-) GPR162	0.04179676940988128	0.249091863062357
(-) GPR176	0.09865037495716933	0.22014035243593388
(-) GPR75-ASB3	0.25058403486585873	0.025084231900618686
(-) GPRASP2	0.1373004702797395	0.0
(-) GRAMD4	0.08181558165250447	0.031486695501785324
(-) GRB10	0.10861857469058313	0.26539462510333817
(-) GRPEL2	0.06526880737894954	0.005982819811390845
(-) GSK3A	0.023772695306495402	0.05848321505606093
(-) GSTCD	0.09995994970365873	0.0
(-) GSTM3	0.16977788275771605	0.3527888502035218
(-) GTDC1	0.1742886261969206	0.08263346555066226
(-) GTF2H5	0.16430273385165295	0.101522949954205
(-) GTF3C1	0.00838636208585721	0.1223313401349469
(-) GTF3C6	0.09068933117040454	0.056052763660634
(-) GULP1	0.3571220371243541	0.17104955783424267
(-) GXYLT2	0.0	0.35713910580946256
(-) GYPC	0.2569866973215109	0.15718423133874357
(-) HARBI1	0.07183234973202038	0.13028395802594395
(-) HAT1	0.06711421353160432	0.0
(-) HAUS1	0.12717595743529417	0.0
(-) HBS1L	0.07941409993995746	0.0
(-) HCN2	0.09233058627984782	0.21311884727897054
(-) HDAC1	0.12089379254555925	0.0
(-) HDAC5	0.0394224024042765	0.14086115590660456
(-) HDAC7	0.06212875711773025	0.09106336687773374
(-) HDHD3	0.12295954906993872	0.0
(-) HEATR5B	0.053095582516306125	0.0
(-) HECTD2	0.11837736394899528	0.09244776020758196
(-) HEMK1	0.056471412814857076	0.07203988609288883
(-) HINT3	0.08012826807237972	0.0
(-) HKR1	0.021789286323824982	0.13072110377919038
(-) HNMT	0.12028701744945067	0.29739358805633714
(-) HNRNPDL	0.07296295302917961	0.0
(-) HNRNPH1	0.08220713437824682	0.0
(-) HOOK3	0.0016421630974446197	0.15889896670829562
(-) HOXA7	0.5636618799957639	0.1294852147812806
(-) HOXB13	0.3653545694892335	0.05996436997172941
(-) HOXB7	0.37381803205485553	0.0
(-) HOXC10	0.3282074974036524	0.08026026206943593
(-) HOXC6	0.09602439828612462	0.06044630866629597
(-) HOXC9	0.197301358721891	0.022477393020154654
(-) HOXD10	0.333673673730501	0.23438884681395455
(-) HOXD9	0.2941740224299717	0.10370553898345486
(-) HPS1	0.20691943386871023	0.0
(-) HPS3	0.11056689370765697	0.018314078149109965
(-) HRH1	0.12542042992580452	0.13391087224390974
(-) HSDL1	0.047434360660066045	0.0496408161586959
