	P0	P1	P2	P3	P4
(-) ASB14	0.4806473920125735	0.22852759877133674	0.24270158047649376	0.2469307053360361	0.22201732639478672
(-) ASB16	0.14540078374222076	0.11889509869220012	0.0203782337887459	0.04655288980235065	0.011393030094982055
(-) ASB9	0.2640623074179201	0.10616154344030372	0.07219629138050894	0.025682752372996123	0.09970515191739708
(-) ASF1A	0.025879960584958155	0.021740245558874976	0.0	0.1212047084105902	0.0
(-) ASNA1	0.03483679959195327	0.03014113313074383	0.030718672243339813	0.04876991832898187	0.0
(-) ASPM	0.0	0.0	0.0	0.16672042198512196	0.0
(-) ATAD1	0.10677224579632404	0.012362747120222338	0.0	0.05930458751295798	0.0
(-) ATAD3A	0.0	0.016107005334658763	0.13070895376299285	0.09690202244159694	0.012268321876012943
(-) ATG5	0.004767626237909115	0.017907878721556775	0.0	0.14089363319579587	0.0
(-) ATL1	0.31122611507419884	0.053421559993799654	0.007999805244249775	0.030227267361186225	0.20594794851490633
(-) ATOH8	0.14697458490450369	0.34252743167363336	0.36206025276570186	0.1946272229281057	0.07421589470348848
(-) ATP6V1A	0.11020651396638538	0.0	0.058427330392866794	0.00173242682648097	0.0
(-) ATP6V1E1	0.04200304296670088	0.01962802852793487	0.0	0.04572175872995333	0.05602934831198042
(-) ATP9B	0.04770661372512725	0.11157867416464624	0.017799169222424877	0.050101946870638285	0.1439648535881576
(-) ATRN	0.0	0.13808203055787327	0.049935700818748575	0.0	0.21891967375599258
(-) ATXN1	0.0	0.2487414296615202	0.0	0.0	0.20604067871863732
(-) ATXN10	0.017084385441002586	0.021905476660174672	0.0015745105212835156	0.07426235051548766	0.007930125335020678
(-) ATXN2L	0.0	0.12814136967716336	0.003941648806737264	0.09615393938165855	0.0
(-) ATXN7	0.04472559143148675	0.13550485002277837	0.010349174261901234	0.01067341929767691	0.011779077253323967
(-) AUH	0.1167984988714963	0.0	0.0034821158279310796	0.052320438886122	0.0
(-) AUNIP	0.012371547823424233	0.0	0.07502747043026656	0.3421805623305854	0.0
(-) AURKAIP1	0.014383794654826504	0.016515187027360823	0.15387848433204687	0.043526985391992436	0.0020704139468642464
(-) AUTS2	0.2903269167872486	0.18460411054587336	0.0	0.0	0.4399841186700579
(-) AXL	0.0	0.168598175204851	0.25564288519247724	0.010567173497536485	0.028343351069744914
(-) B3GALT6	0.003342970543908433	0.22534081388368743	0.15085586721405664	0.01419950513202506	0.027903699378740723
(-) B3GNT5	0.42927501174174026	0.07670089359936938	0.0	0.13674523659778468	0.009883002653414148
(-) B3GNT9	0.027139353694132083	0.24408837002465103	0.08099193655224768	0.07744739576960112	0.18846448368076243
(-) B4GALT6	0.441443492191024	0.0	0.4307019907616431	0.0	0.0
(-) BACE2	0.1222449894080692	0.0032495572512095585	0.45275456314176793	0.0	0.0
(-) BAG2	0.033020522236559366	0.16231799557624602	0.0	0.1614330117603421	0.0
(-) BAG4	0.02194757592481784	0.0	0.05233690362955416	0.09933652026187273	0.007584300166339681
(-) BAIAP2	0.10309232785019508	0.0	0.0	0.1111778093709529	0.0
(-) BAIAP2L1	0.2887585801860385	0.0	0.38236260789385607	0.0	0.03971001726814016
(-) BARD1	0.0	0.0	0.0	0.127979535122118	0.0
(-) BASP1	0.01975346660913959	0.007179870930099312	0.22732394867783653	0.2569564824812067	0.11811040354587675
(-) BAZ1A	0.0	0.014931639429171839	0.0	0.17890184171328494	0.008413397311366443
(-) BAZ2A	0.07177461270499613	0.0	0.0	0.03638976951490079	0.0
(-) BCAT1	0.0	0.24183798306850152	0.16726089953311088	0.1625300096696681	0.0774159070829267
(-) BCDIN3D	0.1803566955933191	0.0	0.0	0.0	0.09560351900371827
(-) BCHE	0.4658156966021277	0.36783995829574345	0.16054646155899624	0.014221787305612058	0.0
(-) BCL6	0.0	0.0735745955389003	0.18741023088569078	0.0	0.09168665248993912
(-) BCLAF1	0.0	0.0	0.0	0.1253027293346934	0.005427401874945841
(-) BDH2	0.10706638511628577	0.07979550355973625	0.04572213820603677	0.0013337638235204102	0.016502469072969955
(-) BEND6	0.0	0.41149214770789355	0.2251954203506473	0.021603987052067505	0.1726419033836085
(-) BIN1	0.002705107917147025	0.13507559075678469	0.14431694970725142	0.01095398937424152	0.08351058802399296
(-) BLMH	0.11367591876006844	0.011220272917386665	0.0	0.03346323477171293	0.060003493602749876
(-) BNC2	0.13564685288537506	0.16715749593676743	0.2157661618140894	0.024418911049115657	0.0
(-) BNIP2	0.06343045653918178	0.0	0.0	0.09539646805945189	0.0
(-) BOLA1	0.16298203219750215	0.0	0.09951594337301689	0.018582109781668514	0.0533383635876767
(-) BRCA2	0.007687530789272201	0.017016541298774942	0.0006249615281553696	0.24789617218277374	0.0
(-) BRD7	0.07668611801000283	0.006717134421611263	0.0	0.12601625071434022	0.04186040379914006
(-) BRD8	0.0	0.0	0.03409387344364745	0.11695535880534409	0.0
(-) BRF1	0.022263713574919793	0.02309150541618692	0.03803790527427911	0.0551196049619762	0.013010365236476416
(-) BRIP1	0.0	0.0278814291446445	0.0	0.16332974634249875	0.0
(-) BTG3	0.0674923467172909	0.021598791395552246	0.0	0.07280917011028254	0.0
(-) BUB1	0.0372762575250711	0.0	0.0	0.2886562841575961	0.0
(-) BUB1B	0.0	0.0	0.0	0.20995262669909392	0.0
(-) BUD13	0.0	0.10329805494466865	0.0	0.14414384927399976	0.01359907423759351
(-) C10orf76	0.05283393204551848	0.02216872280803559	0.0	0.0884301633972387	0.03691820247081836
(-) C11orf45	0.18429636497097976	0.07900837288479708	0.2900851358578834	0.31053565616134116	0.013415645396975434
(-) C11orf58	0.036505483995550765	0.0	0.09849486950667181	0.017801323530931515	0.0
(-) C11orf80	0.11301112461585046	0.0	0.032493337812978536	0.2702350466085459	0.09746972506925485
(-) C14orf132	0.13133810060690285	0.2105982582864621	0.19860245559051903	0.0	0.15091546928176072
(-) C16orf58	0.0	0.16199249711846575	0.06539987725660684	0.007512184478261471	0.0019440123323145023
(-) C18orf54	0.0	0.0	0.0421098792551829	0.23165048677063302	0.0
(-) C19orf24	0.04710015916378891	0.07933349690914646	0.0463433398701273	0.03575372781844444	0.0
(-) C1QTNF1	0.1712605279730357	0.23514365668460294	0.0	0.012286674158727244	0.2365437179361573
(-) C1orf216	0.021171104514136112	0.10423554865242375	0.08393827159562765	0.0	0.05462370492082805
(-) C20orf194	0.0	0.09769676425871567	0.0	0.01103112925434971	0.1718222705718048
(-) C21orf58	0.021435095146475652	0.055011357588287346	0.15239193730426376	0.041894988747165185	0.011795840237152157
(-) C2CD2	0.01982157228164867	0.06424381541800993	0.10448451928104963	0.008089664626451205	0.09289739078736736
(-) C2orf42	0.10476002085458137	0.051870724101585886	0.0	0.009181711552759621	0.09091047932779879
(-) C3orf14	0.3582682393017241	0.0	0.17847572520160018	0.01146240070141204	0.0
(-) C3orf18	0.0	0.28944291436360203	0.11330239916949636	0.16422574244253973	0.048942663475524666
(-) C3orf52	0.05404164308923462	0.0	0.15813803901243065	0.32413583632727	0.0
(-) C5	0.1995971052289786	0.19426278664256727	0.10238668869155153	0.0	0.18861711905288556
(-) C7orf61	0.3412794875107571	0.13135382875551904	0.13841298645947595	0.1596230814725433	0.05149953141024118
(-) C9orf72	0.23517975134788677	0.2852245678826554	0.0	0.14550066812896154	0.022059097252023124
(-) CAAP1	0.2378037496249353	0.218417467744923	0.0	0.05685763526489353	0.030615787448980192
(-) CACNA2D1	0.28785500134240016	0.2809061413712728	0.03015558383972233	0.12111034016023982	0.21152949581833694
(-) CAMK1	0.11544104560053063	0.29563197144148107	0.0	0.04369748237839247	0.07176823675764545
(-) CAMK1D	0.25167933762229455	0.203000855614395	0.06970887548379184	0.04953657634535353	0.26921005904925854
(-) CAMK4	0.1368338120476697	0.027006327272261904	0.5260515733552982	0.019818544349683418	0.0
(-) CAP2	0.03046781754331892	0.06252759346583282	0.15852293018581115	0.0	0.10874288679812932
(-) CAPN1	0.03575871219463287	0.032785508830119235	0.06804056896257878	0.04541088179255855	0.0
(-) CAPN10	0.05704344037490159	0.017596800542564833	0.0003542928039385907	0.015228546367724737	0.0
(-) CAPN2	0.0	0.005003679567640185	0.16251841719674384	0.027969055256294024	0.00997482003888895
(-) CASP2	0.03468011966908958	0.0	0.06411263128896771	0.0	0.11933266521706908
(-) CASP4	0.04770425147644167	0.05637858833553111	0.08388677170087779	0.018318164526474775	0.0
(-) CAV2	0.18025669110187137	0.0	0.3187493064594497	0.012723890688009058	0.06761065380135536
(-) CBR1	0.021211515190220184	0.012126516927476362	0.2516316469306326	0.010008720746950212	0.0
(-) CCDC106	0.04025497290388444	0.15574076206205584	0.0	0.05835996359933156	0.07424937538027082
(-) CCDC113	0.2580927562781653	0.038678825324731665	0.210984236705222	0.0	0.2214804970087849
(-) CCDC12	0.03112111252674149	0.010268961931646493	0.0	0.11366481288911665	0.0
(-) CCDC122	0.3045858814739571	0.0	0.2650117983206553	0.12943052843811226	0.28462764183214484
(-) CCDC125	0.13038130374624773	0.0	0.0	0.09051018014627792	0.06548767862831219
(-) CCDC149	0.04374038688451114	0.210596392741208	0.0	0.0	0.20098390524245827
(-) CCDC150	0.048833883212170144	0.012349444797696618	0.06380304690563014	0.21429666456108562	0.0
(-) CCDC169	0.27201512443074893	0.501646488218447	0.010137563540809118	0.20369946885031312	0.03693713531527618
(-) CCDC171	0.3790585234759342	0.15909228044563523	0.1392754652379836	0.1889038113394247	0.09345904913447818
(-) CCDC174	0.06968352811538688	0.0	0.0	0.023100271894937206	0.04091421649026646
(-) CCDC39	0.3949554194891183	0.06768299464101177	0.15528367307439064	0.09832783945386908	0.052845339791268306
(-) CCDC43	0.0730205256957045	0.059255159397451886	0.0	0.09315808439100862	0.0
(-) CCDC71L	0.3213024940249885	0.0	0.0	0.1710295031119302	0.0
(-) CCDC74A	0.11973496308820454	0.319924805314456	0.09168145135479162	0.03360922052068154	0.0768995514185224
(-) CCDC88A	0.0	0.2493299989472284	0.0	0.059576948453210585	0.0
(-) CCDC91	0.027691123332038776	0.0	0.024923412052160372	0.12822967838196334	0.0
(-) CCDC92	0.0	0.10139053779907106	0.006779506402176902	0.0	0.1663549178049076
(-) CCNA2	0.0	0.0	0.0	0.18295977290170498	0.0
(-) CCNB2	0.0	0.0	0.0	0.14155866983751136	0.0
(-) CCNC	0.0	0.0	0.0	0.12921168081479428	0.0
(-) CCNF	0.0	0.0	0.0	0.18867011073420678	0.08372290340820285
(-) CCNJL	0.08212574801473427	0.0	0.0	0.0	0.4284718231861833
(-) CCNO	0.2078242985258586	0.0	0.0034145271241875935	0.01802302655805986	0.209657518726443
(-) CCNT1	0.06703005273941562	0.0	0.0	0.12233368276716619	0.016059040118565595
(-) CCNT2	0.02293129058661522	0.027388541977370253	0.0	0.08050060146436926	0.0
(-) CCSER2	0.03389896918496659	0.18255141740426772	0.011414277581145514	0.0002429364859918804	0.0
(-) CCZ1	0.03132455550544097	0.032769453833295305	0.17041699820523404	0.0	0.10687580736067467
(-) CDC14B	0.040098486639859744	0.03354814527709991	0.0	0.0	0.17690344691273682
(-) CDC34	0.0	0.14000682325065503	0.026553838085038042	0.05954474782589441	0.007530329277626647
(-) CDC40	0.0	0.011280480026709607	0.0	0.1652279962574952	0.0
(-) CDC42EP1	0.020406654397737083	0.055343653401976424	0.1599127229278087	0.030440311821303984	0.08627142243779891
(-) CDC42EP3	0.08116403394253459	0.08677790388877002	0.0696100344500695	0.01980982044584961	0.005825478710099877
(-) CDCA2	0.003738705263292221	0.0	0.011678577278493273	0.12313834834767587	0.0
(-) CDCA7L	0.028738279117598218	0.04047490364238133	0.0	0.09756317072861226	0.00723631945921508
(-) CDH11	0.0	0.5045407901225712	0.5676059384974362	0.0	0.25515022482141053
(-) CDH13	0.13953978353455251	0.3059992851991944	0.09046126779372134	0.06492137696207101	0.0892278764815677
(-) CDIPT	0.18328616035166403	0.19238091035380123	0.13803504435518305	0.1699644834673955	0.06681263147802322
(-) CDK14	0.07775863478215149	0.09363911135612109	0.1619124599920585	0.0	0.0596780518600403
(-) CDK20	0.12457249982261874	0.028007229271854072	0.10310061734394081	0.0	0.11499476557149246
(-) CDKN2C	0.0	0.0472267247256829	0.10429510219686576	0.2921004606670772	0.1302419689697481
(-) CELSR1	0.09875749914410704	0.011628470709924427	0.13742097198612988	0.023818612256320756	0.37887145364481545
(-) CENPE	0.0	0.0020359761455485226	0.0	0.17118831479574811	0.0
(-) CENPF	0.0	0.0	0.0	0.18666157766372266	0.0
(-) CENPH	0.06414655299951419	0.0	0.005066291387436029	0.13833967095970257	0.0
(-) CENPQ	0.0	0.010647676484055544	0.0	0.19578636525216592	0.0
(-) CEP104	0.0	0.09619054375232847	0.16672988855245469	0.06902581999881915	0.04275387488745165
(-) CEP112	0.13438546362427248	0.23254228719289669	0.05606902650028452	0.0	0.11741739820035971
(-) CEP152	0.0	0.0	0.0	0.20741976987998265	0.0
(-) CEP41	0.0	0.14510843567939044	0.18859652446864153	0.0	0.08360878128996477
(-) CEP57L1	0.0	0.11846351450787906	0.0	0.25019385954014844	0.0
(-) CERS6	0.2043648044644109	0.0	0.0	0.0	0.0
(-) CHCHD2	0.057590130538875565	0.0	0.13340095666807367	9.168219863487674e-05	0.020709701693787008
(-) CHFR	0.015740733447640456	0.03506556132976738	0.0	0.05567959292226762	0.5394639683507947
(-) CHID1	0.04794955941291666	0.1450181373724874	0.05555331398460973	0.0	0.0
(-) CHMP4A	0.0046464368748016585	0.0	0.0	0.06964005807017219	0.08643058357300698
(-) CHUK	0.012817017684242135	0.05566811626835981	0.0	0.21099195616546743	0.0
(-) CIC	0.03347503567932557	0.14429643590348415	0.0	0.0	0.07476247039585864
(-) CIRBP	0.026407113679348535	0.16790657347113508	0.0	0.0	0.01648889077363141
(-) CKAP2	0.0009755604822499967	0.0	0.034852861937062045	0.20345600302776223	0.008540241178347322
(-) CKS1B	0.0	0.0	0.0	0.17158005444139598	0.0
(-) CLASP2	0.05355393031405669	0.01722356362275523	0.01581013572570718	0.07414769735105489	0.0
(-) CLCC1	0.0	0.13266338519398668	0.019448977987328423	0.03269194475415487	0.0
(-) CLCF1	0.0	0.20364224429164401	0.06388848334229907	0.0866350667168634	0.0435953250785823
(-) CLCN4	0.05243634584551883	0.19710243894348206	0.005778595678876556	0.0	0.33932665741222867
(-) CLDN12	0.12535156266745529	0.10683563633416888	0.07220092858778641	0.0	0.0
(-) CLDN18	0.2888697219935485	0.3109452786106636	0.11798281895818778	0.22691566158340415	0.23324390530130162
(-) CLIP3	0.10348296226860616	0.2741302301946086	0.012846364903137676	0.0	0.20774276858242582
(-) CLMP	0.0	0.41069620772844967	0.3562409795572887	0.16670987267725362	0.0
(-) CLN3	0.06952513495166437	0.08145739459307262	0.02025492342496268	0.10923927852123551	0.00791942400073215
(-) CLOCK	0.0003244935442075054	0.1462953865911448	0.0004762020331712699	0.08625104834542603	0.0
(-) CLTC	0.0501732694171422	0.10203002268256604	0.0055922512071635054	0.014275286955517805	0.0
(-) CMBL	0.10183455426065931	0.11957382534063894	0.303611338475264	0.0	0.14410759405785512
(-) CMTM7	0.08038245569086427	0.17829566275361228	0.22230284891184884	0.08459383625270143	0.0
(-) CNKSR3	0.08327629199884053	0.035594523880504984	0.00956142707261938	0.14446554155909816	0.29622700038247124
(-) CNOT7	0.006685337409021042	0.007556955839401285	0.05751413277737174	0.06892010763216494	0.0
(-) CNRIP1	0.0	0.4490312564651948	0.37399981040077374	0.0	0.0
(-) CNTLN	0.1583491396347832	0.16986981918406005	0.0	0.11896081340469405	0.05241493951476638
(-) CNTNAP1	0.0011249434572992592	0.2393749901699811	0.027265153364705277	0.0614069710117564	0.03259277915918558
(-) CNTROB	0.022174912167579608	0.0	0.0	0.11188217645138965	0.0
(-) COA3	0.16814775588285777	0.0	0.0008912325259287736	0.08109267001252518	0.0
(-) COG1	0.06197418532938489	0.13574072523899344	0.03892759967192073	0.02357326551173108	0.001366657520478502
(-) COL12A1	0.0	0.16293796035114605	0.5333916826958625	0.11970904684384902	0.17654713408279982
(-) COL18A1	0.05212809750001246	0.07769593025733254	0.024618814343590784	0.0	0.3894295424835505
(-) COL27A1	0.1455186062292245	0.0630011988442878	0.28898399476704034	0.0	0.0
(-) COL4A2	0.027462961175947938	0.26306524569175294	0.006057590403072692	0.0	0.121264547314214
(-) COL4A5	0.331639913145275	0.09725805988966009	0.0	0.021940976605706618	0.046098484113690115
(-) COL5A1	0.0	0.18869999125064324	0.39442123153619196	0.0	0.13717487998045283
(-) COL5A2	0.011699486699356245	0.1580853442826207	0.0	0.0	0.16979485786061319
(-) COL6A1	0.02467522898442294	0.3009437903081565	0.09389818273355133	0.0	0.1323741815061152
(-) COL6A2	0.017129526700735836	0.3234049399159069	0.06991646958060539	0.0	0.08768019595657721
(-) COMMD7	0.0	0.08901207678005507	0.16636588565109997	0.0	0.11508447673465898
(-) COMMD9	0.026669492310426982	0.0	0.009339946853628111	0.04110122588151802	0.07609722195189386
(-) COPS7A	0.13052596515240805	0.004570745494629414	0.011482605887305436	0.008354739390749395	0.0
(-) COQ7	0.10582314676390396	0.0	0.0	0.049318668829736366	0.0
(-) COX19	0.03228579735886455	0.009725714254982514	0.11640839323269553	0.0	0.145480684503576
(-) CPED1	0.0	0.3433521567859649	0.6830217963422789	0.13098137882516833	0.03800325615853075
(-) CPPED1	0.2648130885029364	0.0	0.07541856490868884	0.1461534837460104	0.004902682375043749
(-) CPQ	0.01599130595117036	0.30934780712528354	0.011766248655676754	0.0	0.06211683288639633
(-) CPS1	0.17174837704166973	0.1715916072245991	0.2736844955974417	0.0	0.0
(-) CPT1C	0.03882556402836847	0.3947032319861574	0.0	0.263993386024787	0.0985597670283149
(-) CRBN	0.09095544893258678	0.0	0.00396715654914904	0.02235104924612771	0.0
(-) CREB3L2	0.0007546042646506819	0.2584156404031595	0.11563313930283345	0.0	0.0
(-) CREBBP	0.000652512683245549	0.08230826320351306	0.0	0.06298052785370536	0.11726666024567847
(-) CRTAP	0.09499840726392175	0.24801740754810023	0.019569262565496213	0.0	0.0
(-) CRYBG3	0.0	0.0	0.23855362381062417	0.0	0.01873578518074719
(-) CS	0.06454116856069164	0.0	0.0	0.13740523902729926	0.0
(-) CSF1	0.041982056286642346	0.29334401542689537	0.0	0.0	0.182480670655183
(-) CSPP1	0.04001254934016254	0.0	0.0	0.12033555420514674	0.011276323591771487
(-) CTCF	0.004579936794166717	0.0	0.0	0.1353060885740256	0.011247169079875774
(-) CTDSP2	0.061391574219343006	0.07808141594769327	0.0	0.0	0.017524530929245653
(-) CTNNBL1	0.07034263963917102	0.030409139292631095	0.2468531889587281	0.1369684846726353	0.0
(-) CTSF	0.2168036348821839	0.1501667361607402	0.0	0.15970528028294906	0.2947520049901504
(-) CUL5	0.0	0.021322680957811122	0.0013388417270908189	0.10304586814131579	0.05395061732224906
(-) CWC22	0.013153326013100911	0.0	0.036456659855196145	0.14154477231961507	0.0
(-) CWF19L1	0.0	0.0	0.0	0.15848919147545848	0.0
(-) CXXC5	0.09449923161568635	0.22944081817689777	0.06252732918918152	0.0	0.15142571864150564
(-) CXorf57	0.2922739661207671	0.11701781511527651	0.0	0.06356142325928495	0.009442605251424398
(-) CYB561	0.05235862490701569	0.010225692285374354	0.1073994970810942	0.056096781088735954	0.17968583641253438
(-) CYB5A	0.0	0.0	0.0	0.07913870485713825	0.30376449742929656
(-) CYLD	0.22975124928832802	0.17535017379070664	0.12288679143645122	0.04928147364571975	0.10921311548730697
(-) CYP2R1	0.001608421851147669	0.013054780957222702	0.4790155746299047	0.18732084821206416	0.013187171589094044
(-) CYP4V2	0.2449054614218381	0.08573675936952019	0.0	0.0	0.07058903664406586
(-) CYP51A1	0.018651458104125246	0.0689381518281936	0.03056190570420189	0.07483731343789456	0.11475899369637008
