	P0	P1	P2	P3
(-) AP2M1	0.00031614684321359775	0.09376066365731664	0.0884009535899313	0.0
(-) APBA2	0.4697117752153267	0.22130799427638045	0.07631670789109672	0.0
(-) APBB1	0.03323583737204394	0.19630862185428777	0.0	0.006934654562578019
(-) APLF	0.14496598127469518	0.04793805629927984	0.37919174608524037	0.009641254296120729
(-) APOBEC3B	0.0	0.0	0.1511567294672411	0.1594284505932691
(-) APOBEC3D	0.07700002037037318	0.030082135365381197	0.21719660341803168	0.30869754946318056
(-) APOBEC3G	0.12128855945527751	0.289411158002288	0.14595685458453758	0.0
(-) AR	0.4783244447541092	0.25632840699520254	0.11562132928485942	0.15088969276757352
(-) ARAF	0.03393926306586378	0.012548059882745237	0.0	0.05874885665454427
(-) ARF1	0.03433434831563164	0.03075615608757188	0.08400327041128587	0.05039285437796776
(-) ARF4	0.0	0.16642555080518956	0.07849620554442667	0.0
(-) ARFGAP1	0.0	0.09815091757435906	0.15338464637607363	0.0
(-) ARFGAP2	0.06297578382494781	0.0	0.04259123321346638	0.019257782300461636
(-) ARFGEF1	0.06058973239182824	0.0009791656009225957	0.014914327799836948	0.0799943712433906
(-) ARHGAP11A	0.0	0.0	0.0	0.22270074554832806
(-) ARHGAP18	0.01974444926727186	0.09750157599557488	0.004181837952700748	0.06240082898052664
(-) ARHGAP22	0.020305897075825134	0.06906790601298228	0.4913708693984992	0.0
(-) ARHGAP23	0.03743182690321597	0.041605610794843734	0.07521534108479468	0.02248859512813251
(-) ARHGAP24	0.0	0.16578861433083386	0.4721021302781802	0.03668899831941908
(-) ARHGAP35	0.056034042838873394	0.11177811741695434	0.0	0.038439240489726724
(-) ARHGEF1	0.014440458856808776	0.011241807615539105	0.01934964132082709	0.06653183271776779
(-) ARHGEF10	0.08893261941208752	0.17959705853141206	0.2638473176654271	0.02264366124038326
(-) ARHGEF10L	0.1329807973003681	0.016567389026083384	0.05670330088775339	0.00322666172890411
(-) ARHGEF17	0.19960927997939346	0.02550469789595746	0.0	0.04473780710251423
(-) ARHGEF25	0.0029407639543634206	0.186757408326614	0.007006843334428858	0.10189371679257436
(-) ARHGEF26	0.16796213251535416	0.06422542834655345	0.011583432772036488	0.17135384796997544
(-) ARHGEF6	0.01808397994563195	0.3777604082481478	0.012218552134186286	0.0
(-) ARL10	0.4286631199525241	0.1871212399247012	0.0	0.5010859289591446
(-) ARMC1	0.0	0.0	0.07793929688630435	0.0894113647317184
(-) ARMC10	0.0451180015778978	0.023280370578336686	0.06977704851312976	0.0
(-) ARMC2	0.06346823824163102	0.06813841379712374	0.13837281608744795	0.17538451827827337
(-) ARMC7	0.05068709704972983	0.0	0.027435680478594786	0.11087674621226337
(-) ARMC8	0.036210552603488017	0.0	0.005838738078389398	0.1045437055469829
(-) ARMCX1	0.0	0.23328587253206065	0.05376496266007246	0.14538367703891092
(-) ARMCX2	0.12972497008658082	0.31463718230223714	0.012599631938842941	0.10057534519179638
(-) ARMCX4	0.07767536552670888	0.17380568742008035	0.052690086601549925	0.4036639758317666
(-) ARMCX5	0.0	0.0	0.0	0.208571393944231
(-) ARSD	0.1439505603288646	0.3204317709332482	0.015317029495855191	0.0
(-) ASAH2	0.21760901551653125	0.12852251390437586	0.056557606141631196	0.20991407961123626
(-) ASB14	0.3589665158090062	0.18609010149615202	0.3425765919360604	0.30011987763724934
(-) ASB16	0.07371445745677292	0.08814048634364553	0.07287621280840961	0.06065536068752804
(-) ASB9	0.2334419299814338	0.08616476366025844	0.10404041749829884	0.0380739100956086
(-) ASF1A	0.0	0.015608154189644638	0.0	0.13873496396935986
(-) ASNA1	0.0	0.02401767548435332	0.03990432220750663	0.05804444112964103
(-) ASPM	0.0	0.0	0.0	0.1802550904102435
(-) ATAD1	0.060771390663023686	0.008659396978874514	0.010075332852266828	0.07952626856051605
(-) ATAD3A	0.0	0.01630475637841826	0.08544061458250915	0.10615765285050002
(-) ATG5	0.0	0.012323511112719667	0.0	0.1548195796118001
(-) ATL1	0.32199985332402753	0.04541282103278467	0.0851200520288904	0.05300823027939549
(-) ATOH8	0.056399560118373146	0.281064069007198	0.3257827404589992	0.21865036607043847
(-) ATP6V1A	0.03291902133285203	0.0	0.09475027246098515	0.008120012866518228
(-) ATP6V1E1	0.06323763769460311	0.013427758764138585	0.012950157969153945	0.050691871388263934
(-) ATP9B	0.12866339902460341	0.08866770417830334	0.017218635894043276	0.05556323606034401
(-) ATRN	0.15198149310464124	0.11836554031613268	0.0	0.0
(-) ATXN1	0.14537599300188359	0.19512595307779423	0.0	0.0
(-) ATXN10	0.006448796902946188	0.014950628691585473	0.01341075646323173	0.08271898321258646
(-) ATXN2L	0.0	0.09913673050576627	0.0	0.1034158687090612
(-) ATXN7	0.030653652573379448	0.10197413224074192	0.025331122665982454	0.012074350118998737
(-) AUH	0.03845496062769387	0.0	0.06252827416604795	0.06269495919716378
(-) AUNIP	0.0	0.0	0.051214521190819796	0.375992987832483
(-) AURKAIP1	0.0	0.015581959230590022	0.10933655066994483	0.04922273722905241
(-) AUTS2	0.5024286175956356	0.14084100101534397	0.04430052900739753	0.00027120631726946777
(-) AXL	0.0	0.149463959545045	0.15406089397958558	0.011152653216980071
(-) B3GALT6	0.0021535067306064294	0.17874770774919044	0.09956141190939169	0.01843728316013432
(-) B3GNT5	0.22054655311518281	0.05579952650487183	0.1436301443224664	0.18356556553883033
(-) B3GNT9	0.134689497357073	0.20206183704361114	0.04498192327514104	0.08785705896504278
(-) B4GALT6	0.08315731160417472	0.0	0.5419215271942561	0.007561076693696117
(-) BACE2	0.0	0.014779908345884293	0.3872822955796389	0.0
(-) BAG2	0.007850623216610305	0.1285312129689592	0.00284207518574629	0.17942787027547574
(-) BAG4	0.004558654754066645	0.0	0.04997575948801115	0.11028118124634576
(-) BAIAP2	0.03312666879197114	0.0	0.023606935176189888	0.1352992164173868
(-) BAIAP2L1	0.09714705757281633	0.0	0.42973359210944384	0.004891145721147513
(-) BARD1	0.0	0.0	0.0	0.13821513940125998
(-) BASP1	0.05282732226244604	0.02364394237465416	0.16511946636765384	0.27910499607476275
(-) BAZ1A	0.0	0.009130223200915616	0.0	0.19594346145206626
(-) BAZ2A	0.040456285687561884	0.0	0.009370011592111344	0.04612289096420761
(-) BCAT1	0.005833941095402799	0.21699806478213166	0.0700926644826948	0.1860291799346918
(-) BCDIN3D	0.1734086695538499	0.0	0.04275200530588172	0.005211071458668394
(-) BCHE	0.13622895854034547	0.2975545190787415	0.2995223041892093	0.06670390115207891
(-) BCL6	0.049858324547594736	0.06912959951606312	0.10858147269010018	0.0
(-) BCLAF1	0.0	0.0	0.0	0.13629053602564709
(-) BDH2	0.05769083002947709	0.0626556180459174	0.07780599100664114	0.005234534135408927
(-) BEND6	0.09695559140686134	0.3391092934852645	0.12394681926524224	0.022603390450222194
(-) BIN1	0.04697875040802873	0.1141400122214427	0.09257114963915578	0.006780359380755365
(-) BLMH	0.11301517159565273	0.00815035851673458	0.016767613190144297	0.04473290484432462
(-) BNC2	0.03813435105607536	0.14255654965371353	0.1730968625902043	0.04343595279144284
(-) BNIP2	0.012906965935841593	0.0	0.029943822976161178	0.10927407532875401
(-) BOLA1	0.13331859619714478	0.0	0.1113860580198653	0.023926366154828037
(-) BRCA2	0.0	0.008432570407945525	0.003630432264821274	0.27171809991412316
(-) BRD7	0.07899354679722258	0.010539949115964354	0.0	0.14509453435270223
(-) BRD8	0.0	0.0	0.026768277509005095	0.12538846897427974
(-) BRF1	0.007540930498384251	0.019346509616081455	0.04535852135087737	0.05826655138494704
(-) BRIP1	0.0	0.017243274126766062	0.0	0.1761196470042827
(-) BTG3	0.015988637902340265	0.015159546261837761	0.025117944123107038	0.08745285549008386
(-) BUB1	0.0	0.0	0.012613678782195437	0.32093937642929743
(-) BUB1B	0.0	0.0	0.0	0.22886110928695702
(-) BUD13	0.0	0.07759554144909489	0.0	0.15698235466164517
(-) C10orf76	0.06578560824253367	0.013731538005872712	0.0	0.1021407324036985
(-) C11orf45	0.04051904516553395	0.06672320457509062	0.29283943404463664	0.3507636315879656
(-) C11orf58	0.0020190334936527696	0.0	0.08139175626574048	0.024966549361826226
(-) C11orf80	0.13065148920039837	0.0	0.029644022010524327	0.310211956523927
(-) C14orf132	0.14363816264553872	0.16365445393396355	0.20663465436631667	0.0
(-) C16orf58	0.0	0.1298453407727525	0.03642985095479415	0.006862968129910309
(-) C18orf54	0.0	0.0	0.019299517100170308	0.2517004542783369
(-) C19orf24	0.0006576960322440144	0.06498186698514691	0.052694065929061625	0.04582387070382387
(-) C1QTNF1	0.28975270478936727	0.18283320593804242	0.0	0.025417377573499145
(-) C1orf216	0.029752088903563092	0.0846902459856273	0.07659386540801595	0.0
(-) C20orf194	0.12824031822912246	0.07491277703699378	0.0	0.0071664955562789085
(-) C21orf58	0.0	0.04674649777406076	0.11901715352097579	0.047323069477024006
(-) C2CD2	0.06166636229796853	0.0660820241083865	0.06694275338056256	0.00877870608745078
(-) C2orf42	0.1373782367627586	0.03776286021204946	0.012378551037500053	0.014593824353418898
(-) C3orf14	0.11850447879603067	0.0	0.28522882289608037	0.04012233364419367
(-) C3orf18	0.0	0.2384441754114382	0.053178087683216746	0.18572635851517413
(-) C3orf52	0.0	0.0	0.13551814150099514	0.36011727069277694
(-) C5	0.23264347154760356	0.15576482565301147	0.13672642191532589	0.0
(-) C7orf61	0.17916929746385543	0.10445936596449702	0.22961257439819716	0.19764488185103501
(-) C9orf72	0.14361974267433725	0.20656018374311905	0.06878618435574534	0.17028286066892476
(-) CAAP1	0.142465862113571	0.1576626441424354	0.08562594930974073	0.07589518433533879
(-) CACNA2D1	0.2877582025343815	0.23242528540631813	0.09377343659896144	0.1561690923704251
(-) CAMK1	0.1195564071655025	0.22747282084338202	0.004940487699312157	0.05731140712335992
(-) CAMK1D	0.3202178732560658	0.16813226951778037	0.12335579388639098	0.05708056338784304
(-) CAMK4	0.0	0.044767401661801355	0.4173988760190154	0.03515053353073056
(-) CAP2	0.09152558458473041	0.05922651442329222	0.09628361596925027	0.0
(-) CAPN1	0.0	0.027342696816955062	0.06406436729763004	0.05548476700463079
(-) CAPN10	0.017783303321125175	0.013082344441338824	0.028120420120995852	0.021237473462677056
(-) CAPN2	0.0	0.013832953077743357	0.09808233149019385	0.030553443338294673
(-) CASP2	0.09942633360973992	0.0018082790646201266	0.052590101933295906	0.0
(-) CASP4	0.007176980364127755	0.04644017280438049	0.07800134860973322	0.025484367368471875
(-) CAV2	0.11390185635207295	0.0	0.2933290215722166	0.01585910613255805
(-) CBR1	0.0	0.014706928643621157	0.1791370270890978	0.0110159125291984
(-) CCDC106	0.08608933840057141	0.11461241597781742	0.0	0.06515130807630969
(-) CCDC113	0.2623570334281864	0.04327084605543367	0.24997655874599856	0.0
(-) CCDC12	0.012375146775181232	0.007580771911707588	0.0	0.13045765247228755
(-) CCDC122	0.37651030339350755	0.0	0.24972168276344525	0.14899248833689685
(-) CCDC125	0.1483666042753279	0.0	0.0	0.10205320064870588
(-) CCDC149	0.17266431825134423	0.16308388967903414	0.0	0.0
(-) CCDC150	0.0	0.008301640164289602	0.07423088693808526	0.23786383218931867
(-) CCDC169	0.1604642172016548	0.3816810591110557	0.09707551902729658	0.2372837341455976
(-) CCDC171	0.24307743006876575	0.12280785074202899	0.22913449455837384	0.22852234653939998
(-) CCDC174	0.06151153415378001	0.0	0.022750924314005935	0.03040638026457133
(-) CCDC39	0.20812507181810647	0.0557256664524777	0.26227078187125263	0.13240249941454657
(-) CCDC43	0.0051262496135615265	0.04484696697789773	0.025174364051450477	0.11640841305075464
(-) CCDC71L	0.13667997960420292	0.0	0.12254466901398597	0.207354121472211
(-) CCDC74A	0.09464202658133274	0.26628193229164665	0.09148363774558556	0.043539328802561825
(-) CCDC88A	0.0	0.19116341976831502	0.0	0.060061781487326875
(-) CCDC91	0.0	0.0	0.034229285777658304	0.14238177453432369
(-) CCDC92	0.11332534278126954	0.08861067810076664	0.0	0.0
(-) CCNA2	0.0	0.0	0.0	0.19766021952823815
(-) CCNB2	0.0	0.0	0.0	0.15396569854060868
(-) CCNC	0.0	0.0	0.0	0.14046198547897606
(-) CCNF	0.039066058507746616	0.0	0.0	0.20636375962300474
(-) CCNJL	0.40015837296382634	0.0	0.0	0.0
(-) CCNO	0.26325554554105823	0.0	0.07409781317663253	0.025279411759326374
(-) CCNT1	0.04916347212534062	0.0	0.00909408090925349	0.13766425623859463
(-) CCNT2	0.0	0.01956413824928535	0.0	0.09360249811049151
(-) CCSER2	0.0	0.14508669202901484	0.023155212466815147	0.005218997309976332
(-) CCZ1	0.07535660647464607	0.035031925313800526	0.12315808885198275	0.0
(-) CDC14B	0.16623980761281715	0.027192301892455275	0.0	0.0
(-) CDC34	0.00328664393188976	0.1143660914112261	0.0017229641897625783	0.068127625570075
(-) CDC40	0.0	0.006612947753602028	0.0	0.18083082358279562
(-) CDC42EP1	0.058164818904149325	0.06225033800475743	0.09340460195377269	0.03593775108405091
(-) CDC42EP3	0.029112850514895913	0.07162642531266568	0.08745658698144675	0.022469193091052855
(-) CDCA2	0.0	0.0	0.013161526700858007	0.13369166476512206
(-) CDCA7L	0.016043899227317655	0.030633033194096767	0.00245859382821365	0.11052344529437251
(-) CDH11	0.11992708207292951	0.43049147669180976	0.3266125200189702	0.0
(-) CDH13	0.1182842426807396	0.23902548479618885	0.11264535302848148	0.07613402474113923
(-) CDIPT	0.11177363090312731	0.1543368856607151	0.16869608206186112	0.19469520242861013
(-) CDK14	0.06301683305119339	0.09072559358417522	0.1242331996854005	0.0050681306553650995
(-) CDK20	0.13104430845394532	0.028454148400160726	0.12369541332382131	0.0
(-) CDKN2C	0.08194986352572643	0.03685282839472885	0.04867401414645696	0.3249559182797283
(-) CELSR1	0.31446463249748713	0.03033283926229694	0.10178299794073903	0.025266437631476665
(-) CENPE	0.0	0.0	0.0	0.1852975879418907
(-) CENPF	0.0	0.0	0.0	0.20142667228664163
(-) CENPH	0.010756783335527282	0.0	0.026627175863759695	0.15966109620140495
(-) CENPQ	0.0	0.004072827065710443	0.0	0.213056117405628
(-) CEP104	0.009527462146479829	0.07869039669550676	0.10931251394296845	0.07861272584613946
(-) CEP112	0.1513690102674021	0.19336644074445214	0.06558432223710721	0.0
(-) CEP152	0.0	0.0	0.0	0.22346439365237875
(-) CEP41	0.03943446138816447	0.12591108172575302	0.11390015489611446	0.0
(-) CEP57L1	0.0	0.08918215126004454	0.0	0.2742589990289102
(-) CERS6	0.09011407442129243	0.0	0.08746782732050556	0.011989967789258694
(-) CHCHD2	0.043012246690536174	0.0	0.10021498009352256	0.003487069005819185
(-) CHFR	0.44941686357289007	0.020530953121577416	0.0	0.04222583945770237
(-) CHID1	0.0026424986303959473	0.11555408918517483	0.0622530880711331	0.0
(-) CHMP4A	0.06553481568204846	0.0	0.0	0.07595372808088434
(-) CHUK	0.0	0.03932160069044978	0.0	0.23627840924904925
(-) CIC	0.07462867011254642	0.11332619271808109	0.0	0.0
(-) CIRBP	0.023140092793000378	0.12743390937313495	0.0064685554487715685	0.0007075927955851418
(-) CKAP2	0.0075011990092529466	0.0	0.00966757171937003	0.22503407040833093
(-) CKS1B	0.0	0.0	0.0	0.186222147475991
(-) CLASP2	0.0	0.015517280243864761	0.04127076007847999	0.08810008196118144
(-) CLCC1	0.0	0.10516835153532617	0.005723875070433247	0.03426787120846224
(-) CLCF1	0.007622174298086261	0.17130274471325405	0.024715385307440784	0.09717372513371772
(-) CLCN4	0.28960096090014237	0.16748067609309972	0.0	0.0
(-) CLDN12	0.01703904347428937	0.09205725719001356	0.11374543219780926	0.005235335273452789
(-) CLDN18	0.30617402586906073	0.24086865997800558	0.17085180213351683	0.25803699124863505
(-) CLIP3	0.20531516237357536	0.2125197545840847	0.03917421399495088	0.0
(-) CLMP	0.0	0.3390934771057797	0.20373909017580735	0.1782545236462134
(-) CLN3	0.03644640232690713	0.06456741734315864	0.03190080572300047	0.12570407352992305
(-) CLOCK	0.0	0.10894618220279943	0.004258219051159024	0.09185627154628813
(-) CLTC	0.006474666320459862	0.07878890300405715	0.03176396763051132	0.02176547480305056
(-) CMBL	0.12422134812641845	0.1038233777129524	0.24387463897292383	0.0
(-) CMTM7	0.0	0.14801534374888553	0.1903009841154392	0.10323077926823658
(-) CNKSR3	0.2773572673703128	0.02345427607022003	0.0009767325384123096	0.15869788082334815
(-) CNOT7	0.0	0.00440452876123693	0.046982012833937555	0.07361742299365445
(-) CNRIP1	0.0	0.3561513165042857	0.24632159342412663	0.0
(-) CNTLN	0.13063256087360403	0.12947024583973782	0.01623378580313265	0.14642873217644226
(-) CNTNAP1	0.005529492665386974	0.18805746355092567	0.026608998344478402	0.06562948355209455
(-) CNTROB	0.0033415093255252807	7.671932027135552e-05	0.0	0.12818621920645415
(-) COA3	0.06480066972827982	0.0	0.06618232379192558	0.10295188176990869
(-) COG1	0.006464079658546844	0.10161844218527136	0.07643961701063608	0.028089196858753027
(-) COL12A1	0.059920563684538984	0.1614481599536848	0.322825410936798	0.13551372700683195
(-) COL18A1	0.3391014299521467	0.06437650492020576	0.0	0.0
(-) COL27A1	0.02345093487649778	0.05284172378040975	0.2855727696109152	0.0
(-) COL4A2	0.1064853393542275	0.20287315154509336	0.0	0.0
(-) COL4A5	0.20100481289045471	0.07401872334285302	0.09102730877906606	0.04773433052033356
(-) COL5A1	0.041154046976138	0.18276954628721634	0.2060789964687593	0.0
(-) COL5A2	0.12899719628197137	0.12239872742632489	0.0	0.0
(-) COL6A1	0.08873580053990067	0.24348624794886284	0.06890574570932068	0.0
(-) COL6A2	0.050759693239503974	0.25843596271169583	0.05708809151973779	0.0
(-) COMMD7	0.06850634858110284	0.08586841935265416	0.07468415792701054	0.0
(-) COMMD9	0.07042012639954863	0.00038323027391098355	0.0033935266059221046	0.048466059458995195
(-) COPS7A	0.04979703025148894	0.0048283935561013605	0.060841718568515134	0.022204469942715983
(-) COQ7	0.05296345232018774	0.0	0.017513319567520207	0.06571779316361312
(-) COX19	0.12117079372823807	0.019442153983671117	0.06775334388016778	0.0
(-) CPED1	0.0	0.30190101709886064	0.416075777812097	0.14739775685170917
(-) CPPED1	0.11740737547908799	0.0	0.16442438092977893	0.1734278351958161
(-) CPQ	0.05280208820071411	0.2404925506235137	0.005929213400894244	0.0
(-) CPS1	0.012416843122995973	0.14704290366148062	0.28267855162882405	0.0007029690156384169
(-) CPT1C	0.09289774183704297	0.30645444580306064	0.0	0.28793915617303123
(-) CRBN	0.03438898652596129	0.0	0.04415156806513418	0.03158036804585072
(-) CREB3L2	0.0	0.20140556648162877	0.08128326165012349	0.0
(-) CREBBP	0.0871004495374345	0.06025261989716216	0.0	0.06552549641348983
(-) CRTAP	0.012132854421077876	0.192831359396257	0.07028266736308021	0.0
(-) CRYBG3	0.0	0.009766652226627554	0.14485749263061432	0.0
(-) CS	0.0	0.0	0.03817174341069599	0.1590961759921961
(-) CSF1	0.16013772636944243	0.2307280772677228	0.0	0.0
(-) CSPP1	0.02776327096291311	0.0	0.007612630956359746	0.1326961324894988
(-) CTCF	0.008733671786684034	0.0	0.0	0.14859905396035808
(-) CTDSP2	0.03440102525559765	0.05865087733661528	0.036866346711830165	0.0
(-) CTNNBL1	0.0	0.03172632058010315	0.20226514885318594	0.1560128240513861
(-) CTSF	0.36975747170819884	0.11587794932068768	0.001536523830025337	0.18218908823704869
(-) CUL5	0.03269119004810576	0.016407594030094366	0.0	0.11199172943909035
(-) CWC22	0.0	0.0	0.04072517752921534	0.15320479552591554
(-) CWF19L1	0.0	0.0	0.0	0.17290859836666544
(-) CXXC5	0.143468887395679	0.18040230742663063	0.08381298959232142	0.0
(-) CXorf57	0.15300301598306038	0.08597870242697336	0.07133917169451455	0.09607802422811992
(-) CYB561	0.14118980950616308	0.01873541188684343	0.0866775736146656	0.06046192799444129
(-) CYB5A	0.23950710214012985	0.0	0.0	0.07639653247171246
(-) CYLD	0.17054460568801758	0.14300312039734767	0.18020844635685757	0.059539913360398995
(-) CYP2R1	0.0	0.025077517623641483	0.3142547072155063	0.20567233352969203
(-) CYP4V2	0.19644134605184366	0.06671600926222893	0.05117369654277942	0.0
(-) CYP51A1	0.08763330053183883	0.05852827885983467	0.015718825017931544	0.08319219990290717
(-) CYTH2	0.09477761883158095	0.014708350010291533	0.019795020758156527	0.011370102149290766
(-) DCP1B	0.0	0.23601893465291113	0.005532423857926653	0.0
(-) DCUN1D3	0.0040145046808444315	0.051396013526561	0.109293467711274	0.0
(-) DDO	0.12228765674930256	0.257139175014469	0.04772939674046207	0.08601029553005038
(-) DDR2	0.0	0.2942834542814415	0.058057900721820606	0.0010098042381210517
(-) DDRGK1	0.11470471909304608	0.0	0.001793075604363425	0.042824001247422756
(-) DDX39B	0.27162127018902543	0.14421397757426563	0.09101545965860275	0.31597333959170054
(-) DDX6	0.13747451176875505	0.02500988891738928	0.010881808578048229	0.010052722554213406
(-) DECR2	0.0	0.0710099269722502	0.12435792457507984	0.0
(-) DEK	0.01905399587544216	0.0018183053647496707	0.0	0.1584885203426332
(-) DENND1B	0.170670553894779	0.006290828112411651	0.05065111653633742	0.04938048781752492
(-) DENND2A	0.2296212802247145	0.21887311436189508	0.06319917786777524	0.14342861263066
(-) DENND5A	0.0	0.15309952067570354	0.019104567130456867	0.0016489889853856107
(-) DENND6B	0.31496661318505254	0.12827123442579422	0.21137432144038149	0.0
(-) DEPDC1	0.0	0.0	0.0	0.21480225401975347
(-) DERL2	0.028991309123374623	0.0	0.008762055240793787	0.06673434995884049
(-) DGAT2	0.09224439851844347	0.0	0.3958051445541627	0.018572838356075816
(-) DGCR6	0.18192596120522944	0.0	0.06954697959862872	0.09666023674886091
(-) DHCR24	0.010737343519054119	0.0	0.12369080301263588	0.03974956680841344
(-) DHCR7	0.1241468355072879	0.0	0.039811897128229655	0.022608119416054312
(-) DHRSX	0.11158437552241032	0.0	0.10236218806484221	0.0
(-) DHX15	0.0	0.0	0.0	0.13866706900037265
(-) DHX38	0.0	0.005219276517804346	0.006183439586755626	0.0844587622451532
(-) DHX57	0.06553355669895411	0.0	0.04202763993713143	0.11496803879690311
(-) DHX58	0.11507704330127691	0.19745496453405142	0.09521327194855668	0.0
(-) DIAPH2	0.129271485789862	0.0	0.052671616618142555	0.1557270652859241
(-) DIP2A	0.04358678974470065	0.028346226529319028	0.04665420486952757	0.029351713047941257
(-) DIP2C	0.020128885757958435	0.18609451376068734	0.11635676853390198	0.0
(-) DKK3	0.10715402750007504	0.1609110237031651	0.007996296898624373	0.026497340718262003
(-) DLC1	0.0	0.0	0.4189934153964137	0.0
(-) DLG4	0.0	0.2255033740679284	0.04998466749292776	0.0
(-) DMXL2	0.0	0.19863599207299293	0.03959986860104819	0.01094046630057579
(-) DNAJA1	0.0	0.0	0.0550457750709078	0.09580120107576112
(-) DNAJB5	0.022638758771142128	0.18175158159592023	0.0	0.02564176638892343
(-) DNAJB6	0.041244567114907225	0.07108337722904198	0.11645331290582658	0.0
(-) DNAJC15	0.06763959312653794	0.17161069149397745	0.14720272754738756	0.0993835909752055
(-) DNAJC22	0.0475633332268	0.1281038400540167	0.00996627562326905	0.01571028826066539
(-) DNAJC6	0.21822090163327937	0.0651269268526008	0.12666329031527723	0.1978171070713879
(-) DNASE1L2	0.14077694418202025	0.01655564783396833	0.09811431573108789	0.1609118755943375
(-) DNM1	0.1561274802503888	0.2772664089801316	0.0	0.13273023537442985
(-) DNTTIP2	0.0	0.0	0.0	0.18153152195337718
(-) DOCK10	0.0	0.3569221487024143	0.23245614963958292	0.0
(-) DOCK5	0.18360723557711844	0.0	0.4455289769212775	0.0911798762397756
(-) DOCK7	0.0	0.13233762966777804	0.007504757167129017	0.017717271104958136
(-) DPP7	0.151662630839199	0.0	0.0	0.0
(-) DPY19L2	0.0915728915940143	0.2655853108310538	0.05792102384612896	0.21308663079265402
(-) DTL	0.0	0.0	0.0	0.18991325923521296
(-) DTNB	0.07687750426035436	0.0	0.007821281202667505	0.14036754634415954
(-) DTWD2	0.11790758041902528	0.0452350388516805	0.09793786394488707	0.061337468167174725
(-) DTX3	0.0	0.07507060405412694	0.0	0.15002347484278414
(-) DUS4L	0.07552701161255831	0.06283607723942362	0.12757294128836277	0.0
